Unnamed: 0,precision,recall,f1-score,support
Murshid Habashi,0.4996 (0.1538),0.6317 (0.1714),0.5564 (0.1620),26.0
Michel Kahwaji,0.3424 (0.2774),0.8563 (0.1218),0.4081 (0.2218),141.0
Mayor of Kfarshima,0.1884 (0.0685),0.6398 (0.2216),0.2900 (0.1038),33.0
Sohayl Tohmeh,0.2581 (0.0635),0.6886 (0.0548),0.3720 (0.0697),36.0
Shukri Kanaan,0.6411 (0.2634),0.2828 (0.1857),0.3204 (0.1703),33.0
Emily Nasrallah,0.6522 (0.1127),0.9697 (0.0429),0.7716 (0.0746),11.0
Joseph Oussani,0.9268 (0.0618),0.8936 (0.0337),0.9082 (0.0310),153.0
Father Boulos El-Mender,0.2163 (0.2714),0.1176 (0.0636),0.1256 (0.1261),20.0
Salah Tizani,0.6872 (0.2784),0.9629 (0.0411),0.7601 (0.2174),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2181 (0.1653),0.2267 (0.2660),0.1635 (0.1474),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2579 (0.1829),0.5907 (0.4225),0.3577 (0.2529),31.0
Toufic El Bacha,0.5776 (0.2037),0.6966 (0.1605),0.5797 (0.0264),40.0
Catherine Yazbek Al-Badawi,0.0476 (0.0673),0.0196 (0.0277),0.0278 (0.0393),17.0
Youssef Fadlallah Salemeh,0.6728 (0.3219),0.4482 (0.0744),0.4731 (0.1190),60.0
Bishop Youssef Darian,0.4339 (0.3238),0.3478 (0.2664),0.3680 (0.2611),53.0
Youssef Hanna El-Sawda,0.5865 (0.2193),0.7461 (0.0852),0.6226 (0.1330),21.0
accuracy,0.5444 (0.0246),0.5444 (0.0246),0.5444 (0.0246),0.5790537808329964
macro avg,0.3720 (0.0344),0.4265 (0.0373),0.3493 (0.0393),2473.0
weighted avg,0.5721 (0.0399),0.5444 (0.0246),0.5177 (0.0303),2473.0
