Model,ResNet50,DenseNet201,Xception,MobileNetV3
From Scratch + Attention,0.6766 (0.0294),0.6615 (0.0255),0.6812 (0.0533),0.0156 (0.0078)
,,,,
,,,,
,,,,
Top-5 Accuracy,,,,
Frozen + No Attention (Baseline) ,0.8735 (0.0147),0.8553 (0.0106),0.7411 (0.0032),0.8102 (0.0184)
Frozen + Attention,0.8736 (0.0131),0.8579 (0.0052),0.7722 (0.0104),0.8224 (0.0021)
Fine-tuned + Last Layer + No Attention,0.8665 (0.0094),0.8585 (0.0147),0.7299 (0.0115),0.8080 (0.0027)
Fine-tuned + Last Layer + Attention,0.8779 (0.0154),0.8523 (0.0032),0.7560 (0.0137),0.8209 (0.0018)
Fine-tuned + Last 5 Layers + No Attention,0.8721 (0.0191),0.8430 (0.0081),0.8105 (0.0060),0.8489 (0.0122)
Fine-tuned + Last 5 Layers + Attention,0.8778 (0.0144),0.8244 (0.0509),0.8026 (0.0285),0.8120 (0.0210)
Fine-tuned + Last 10 Layers + No Attention,0.8547 (0.0192),0.8556 (0.0029),0.8404 (0.0157),0.8143 (0.0058)
Fine-tuned + Last 10 Layers + Attention,0.8646 (0.0174),0.8415 (0.0286),0.8375 (0.0060),0.8140 (0.0164)
Fine-tuned + Last 25 Layers + No Attention,0.8574 (0.0184),0.8583 (0.0080),0.8520 (0.0137),0.8328 (0.0204)
Fine-tuned + Last 25 Layers + Attention,0.8677 (0.0114),0.8543 (0.0088),0.8585 (0.0165),0.8375 (0.0169)
Fine-tuned + No Attention,0.8705 (0.0080),0.8657 (0.0069),0.8523 (0.0060),0.8688 (0.0033)
Fine-tuned + Attention,0.8682 (0.0108),0.8723 (0.0148),0.8681 (0.0098),0.8584 (0.0057)
From Scratch + No Attention,0.8166 (0.0243),0.8174 (0.0202),0.8337 (0.0334),0.0885 (0.0461)
From Scratch + Attention,0.8262 (0.0182),0.8210 (0.0262),0.8159 (0.0369),0.0890 (0.0487)
,,,,
,,,,
,,,,
Loss,,,,
Frozen + No Attention (Baseline) ,1.5836 (0.0897),1.6863 (0.0748),2.4914 (0.0505),2.0683 (0.1450)
Frozen + Attention,1.6172 (0.1343),1.7234 (0.0900),2.4198 (0.0357),2.1090 (0.1062)
Fine-tuned + Last Layer + No Attention,1.6338 (0.0890),1.6851 (0.1179),2.5855 (0.0939),2.0822 (0.1324)
Fine-tuned + Last Layer + Attention,1.6498 (0.1410),1.6924 (0.0744),2.4164 (0.0172),2.0582 (0.1078)
Fine-tuned + Last 5 Layers + No Attention,1.7123 (0.1504),1.7525 (0.0914),2.2157 (0.0450),1.9285 (0.1250)
Fine-tuned + Last 5 Layers + Attention,1.6055 (0.0387),1.9828 (0.3119),2.2562 (0.0729),2.1362 (0.0703)
Fine-tuned + Last 10 Layers + No Attention,1.8789 (0.1659),1.7603 (0.1170),2.1344 (0.2775),2.1522 (0.2272)
Fine-tuned + Last 10 Layers + Attention,1.7746 (0.1674),1.8089 (0.1878),2.0095 (0.1133),2.0209 (0.0517)
Fine-tuned + Last 25 Layers + No Attention,1.9069 (0.2826),1.6937 (0.1449),2.0380 (0.2488),2.1044 (0.3570)
Fine-tuned + Last 25 Layers + Attention,1.7816 (0.1589),1.7279 (0.1172),1.9592 (0.1395),2.2494 (0.2569)
Fine-tuned + No Attention,1.7742 (0.0613),1.7317 (0.1221),2.0275 (0.0528),1.5808 (0.1075)
Fine-tuned + Attention,1.7843 (0.1066),1.7852 (0.1248),1.9128 (0.2054),1.7630 (0.0797)
From Scratch + No Attention,1.9663 (0.1899),1.9407 (0.1358),1.9831 (0.1813),4.3754 (0.0656)
From Scratch + Attention,2.1376 (0.2081),2.0616 (0.1529),2.2160 (0.0523),4.4023 (0.1125)
,,,,
,,,,
,,,,
Precision,,,,
Frozen + No Attention (Baseline) ,0.5484 (0.0312),0.5139 (0.0403),0.3355 (0.0205),0.4606 (0.0239)
Frozen + Attention,0.5700 (0.0307),0.5796 (0.0238),0.4094 (0.0334),0.4984 (0.0421)
Fine-tuned + Last Layer + No Attention,0.5267 (0.0387),0.5165 (0.0089),0.3325 (0.0476),0.4482 (0.0492)
Fine-tuned + Last Layer + Attention,0.5867 (0.0355),0.5695 (0.0521),0.3720 (0.0344),0.5021 (0.0465)
Fine-tuned + Last 5 Layers + No Attention,0.5761 (0.0281),0.4895 (0.0994),0.4812 (0.0459),0.5077 (0.0322)
Fine-tuned + Last 5 Layers + Attention,0.5789 (0.0364),0.4870 (0.1801),0.4719 (0.0900),0.5024 (0.1058)
Fine-tuned + Last 10 Layers + No Attention,0.5841 (0.0330),0.5558 (0.0698),0.6148 (0.0124),0.4855 (0.0924)
Fine-tuned + Last 10 Layers + Attention,0.5788 (0.0256),0.5140 (0.1259),0.5627 (0.0670),0.4808 (0.0917)
Fine-tuned + Last 25 Layers + No Attention,0.6244 (0.0124),0.5759 (0.0623),0.6422 (0.0076),0.5670 (0.0470)
Fine-tuned + Last 25 Layers + Attention,0.6474 (0.0105),0.5611 (0.0941),0.6332 (0.0070),0.5979 (0.0142)
Fine-tuned + No Attention,0.5754 (0.0402),0.5694 (0.0432),0.6347 (0.0145),0.6238 (0.0291)
Fine-tuned + Attention,0.5726 (0.0590),0.6235 (0.0358),0.6142 (0.0198),0.6460 (0.0065)
From Scratch + No Attention,0.4218 (0.0719),0.4452 (0.0290),0.4974 (0.1076),0.0008 (0.0007)
From Scratch + Attention,0.4747 (0.0705),0.4425 (0.0484),0.4644 (0.1298),0.0002 (0.0001)
,,,,
,,,,
,,,,
Recall,,,,
Frozen + No Attention (Baseline) ,0.5949 (0.0183),0.5530 (0.0199),0.3827 (0.0295),0.4839 (0.0078)
Frozen + Attention,0.6046 (0.0289),0.6194 (0.0388),0.4456 (0.0471),0.5228 (0.0401)
Fine-tuned + Last Layer + No Attention,0.5679 (0.0164),0.5578 (0.0181),0.3752 (0.0407),0.4782 (0.0409)
Fine-tuned + Last Layer + Attention,0.6180 (0.0251),0.6089 (0.0510),0.4265 (0.0373),0.5234 (0.0417)
Fine-tuned + Last 5 Layers + No Attention,0.6128 (0.0193),0.5273 (0.0809),0.5334 (0.0433),0.5592 (0.0325)
Fine-tuned + Last 5 Layers + Attention,0.6235 (0.0275),0.5420 (0.1681),0.5248 (0.0877),0.5611 (0.1007)
Fine-tuned + Last 10 Layers + No Attention,0.6345 (0.0278),0.6034 (0.0667),0.6438 (0.0181),0.5412 (0.0829)
Fine-tuned + Last 10 Layers + Attention,0.6388 (0.0196),0.5794 (0.1089),0.6164 (0.0549),0.5381 (0.0889)
Fine-tuned + Last 25 Layers + No Attention,0.6783 (0.0155),0.6383 (0.0486),0.6780 (0.0031),0.6179 (0.0311)
Fine-tuned + Last 25 Layers + Attention,0.6787 (0.0144),0.6170 (0.0758),0.6688 (0.0107),0.6445 (0.0266)
Fine-tuned + No Attention,0.6438 (0.0138),0.6333 (0.0102),0.6816 (0.0282),0.6885 (0.0108)
Fine-tuned + Attention,0.6333 (0.0294),0.6832 (0.0089),0.6777 (0.0125),0.6865 (0.0135)
From Scratch + No Attention,0.5381 (0.0435),0.5438 (0.0224),0.5780 (0.0926),0.0141 (0.0000)
From Scratch + Attention,0.5567 (0.0381),0.5376 (0.0290),0.5627 (0.0954),0.0141 (0.0000)
,,,,
,,,,
,,,,
Training Time (Hours),,,,
Frozen + No Attention (Baseline) ,2.60 (0.24),2.95 (0.12),2.57 (0.49),3.23 (0.99)
Frozen + Attention,1.80 (0.06),2.50 (0.30),2.45 (0.05),2.10 (0.06)
Fine-tuned + Last Layer + No Attention,2.46 (0.02),3.00 (0.16),2.20 (0.20),2.75 (0.84)
Fine-tuned + Last Layer + Attention,2.17 (0.40),2.26 (0.12),2.45 (0.22),1.81 (0.07)
Fine-tuned + Last 5 Layers + No Attention,2.83 (0.45),2.85 (0.11),2.59 (0.21),2.90 (0.95)
Fine-tuned + Last 5 Layers + Attention,2.32 (0.51),2.72 (0.07),3.20 (0.58),1.90 (0.07)
Fine-tuned + Last 10 Layers + No Attention,2.32 (0.41),2.91 (0.30),3.14 (0.75),2.12 (0.15)
Fine-tuned + Last 10 Layers + Attention,2.13 (0.63),2.66 (0.22),2.54 (0.39),1.73 (0.30)
Fine-tuned + Last 25 Layers + No Attention,2.26 (0.54),3.58 (1.04),3.04 (0.46),1.88 (0.17)
Fine-tuned + Last 25 Layers + Attention,1.75 (0.25),2.86 (0.84),2.49 (0.39),1.67 (0.26)
Fine-tuned + No Attention,3.64 (0.70),3.54 (0.73),4.06 (0.74),2.32 (0.22)
Fine-tuned + Attention,2.85 (0.09),3.07 (0.20),2.79 (0.12),2.03 (0.23)
From Scratch + No Attention,3.75 (0.28),3.63 (0.61),4.21 (0.60),0.59 (0.08)
From Scratch + Attention,4.30 (0.85),3.57 (1.18),3.36 (0.41),0.57 (0.03)
,,,,
,,,,
,,,,
