Unnamed: 0,precision,recall,f1-score,support
Father Elias Bassil,0.3333 (0.4714),0.0278 (0.0393),0.0513 (0.0725),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2387 (0.1064),0.3553 (0.2730),0.2659 (0.1799),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2388 (0.1531),0.6774 (0.4562),0.3502 (0.2298),31.0
Toufic El Bacha,0.7124 (0.0569),0.9750 (0.0204),0.8224 (0.0442),40.0
Catherine Yazbek Al-Badawi,0.2292 (0.3241),0.2157 (0.3050),0.2222 (0.3143),17.0
Youssef Fadlallah Salemeh,0.6682 (0.1687),0.7066 (0.1552),0.6513 (0.0531),60.0
Bishop Youssef Darian,0.4849 (0.3691),0.4883 (0.3532),0.4713 (0.3349),53.0
Youssef Hanna El-Sawda,0.7398 (0.1652),0.8773 (0.0877),0.7897 (0.0878),21.0
accuracy,0.6417 (0.0152),0.6417 (0.0152),0.6417 (0.0152),0.6591184795794581
macro avg,0.5021 (0.0465),0.5234 (0.0417),0.4606 (0.0428),2473.0
weighted avg,0.6672 (0.0242),0.6417 (0.0152),0.6169 (0.0179),2473.0
