writer,pages_total,units_total,units_label,lines_total,eligibility,included,reason,policy
Abd al-Khaliq Farid,2,2,pages,53,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Elie Maroun Khalil,4,4,pages,69,train_val_test,True,has >=3 pages,require_3way
Habib Abi Rached,1,1,pages,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Aziz Khoury,3,3,pages,47,train_val_test,True,has >=3 pages,require_3way
Mary Khoury,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Ghnatyos Mbarak,5,5,pages,95,train_val_test,True,has >=3 pages,require_3way
Abdallah Sfeir,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Nakad,1,1,pages,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Tanos Youssef Harfouche,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
JerJi Ass'ad Nader,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Abdallah al-Khoury,1,1,pages,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Serhal Maroun 'Tiyyeh,1,1,pages,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hanna Estphan,2,2,pages,34,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Slayman al-Farkh,1,1,pages,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Boulos Nasr,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Botros Feghaly,3,3,pages,66,train_val_test,True,has >=3 pages,require_3way
Toufiq Wehbeh,8,8,pages,157,train_val_test,True,has >=3 pages,require_3way
Maronite Bishop of Sidon,2,2,pages,38,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Halim Khoury Saadeh,2,2,pages,44,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Jebrayel Sa'd al 'Alam,1,1,pages,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Najib Ayoub,2,2,pages,40,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Youhanna Sfeir,2,2,pages,35,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Bishop Mkhayel Akhrass,5,5,pages,93,train_val_test,True,has >=3 pages,require_3way
George Saad,7,7,pages,111,train_val_test,True,has >=3 pages,require_3way
Bishop Youseef El Khazen,1,1,pages,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Elias Najm,2,2,pages,53,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Bishop Aghnathios Mbarak,9,9,pages,163,train_val_test,True,has >=3 pages,require_3way
Dr. Abdo Harb,1,1,pages,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Fathallah Khoury,4,4,pages,73,train_val_test,True,has >=3 pages,require_3way
Antonios Elias,1,1,pages,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Francis Hcheme,1,1,pages,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Antoine Richa,1,1,pages,25,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Botros El Kfouny,1,1,pages,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Salim Maalouf,1,1,pages,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Yaacoub Awad,1,1,pages,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Wadih Salim Karam,1,1,pages,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Youhanna El Khoury,2,2,pages,32,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Georges Jarjoura,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Jerjes El Alam,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Botros Dib,1,1,pages,25,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Sarkis,18,18,pages,325,train_val_test,True,has >=3 pages,require_3way
Fouad Chehab,21,21,pages,264,train_val_test,True,has >=3 pages,require_3way
Hanna Moussa,41,41,pages,876,train_val_test,True,has >=3 pages,require_3way
Zaghloul ad-Damour,1,1,pages,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Massoud,5,5,pages,100,train_val_test,True,has >=3 pages,require_3way
Zaghloul,28,28,pages,505,train_val_test,True,has >=3 pages,require_3way
Father Youhanna Habib Baysari,9,9,pages,198,train_val_test,True,has >=3 pages,require_3way
Mkhayel Daher,3,3,pages,73,train_val_test,True,has >=3 pages,require_3way
Father Youssef Hanna,2,2,pages,46,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Iskandar,1,1,pages,23,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Adib Shiha,1,1,pages,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Hanna & Father Botros Hasan,3,3,pages,63,train_val_test,True,has >=3 pages,require_3way
Father Botros Hasan,6,6,pages,128,train_val_test,True,has >=3 pages,require_3way
Youssef Ibrahim,2,2,pages,37,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Hajj,3,3,pages,63,train_val_test,True,has >=3 pages,require_3way
Abdallah Daher,1,1,pages,13,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Mkhayel & Ibrahim Daher,2,2,pages,36,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Tannous Semaan,1,1,pages,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Mkhayel Zreiby,9,9,pages,200,train_val_test,True,has >=3 pages,require_3way
People of Rablah,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Boutros Chidiac,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishop Antoun Jbeir,1,1,pages,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Yousef,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Maronite children of Akkar district,1,1,pages,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Asaf,2,2,pages,53,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Muhawwel Harouh,1,1,pages,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Mikhael Hanna,4,4,pages,71,train_val_test,True,has >=3 pages,require_3way
Warda El Khoury,1,1,pages,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jean Philipp Kmeid,24,24,pages,532,train_val_test,True,has >=3 pages,require_3way
Jerji Nicola Khattar al-Chuayri,2,2,pages,29,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Abd al-Hajj,2,2,pages,27,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Michel Saykali,45,45,pages,791,train_val_test,True,has >=3 pages,require_3way
Hanna Ghayth (Juan Gait),68,68,pages,934,train_val_test,True,has >=3 pages,require_3way
Yousef Hobeiche,23,23,pages,432,train_val_test,True,has >=3 pages,require_3way
Angele Ellis,4,4,pages,75,train_val_test,True,has >=3 pages,require_3way
Yousef Hobeiche & Angele Ellis,1,1,pages,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Khalil Yossuf Nader Raad,22,22,pages,453,train_val_test,True,has >=3 pages,require_3way
Mansour Eid,12,12,pages,271,train_val_test,True,has >=3 pages,require_3way
Nassif Mansour,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Peter the Patriarch of Antioch,1,1,pages,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef,1,1,pages,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Mkhayel Meneem,5,5,pages,123,train_val_test,True,has >=3 pages,require_3way
Constantine Elias,5,5,pages,84,train_val_test,True,has >=3 pages,require_3way
Maurice Gemayel,6,6,pages,67,train_val_test,True,has >=3 pages,require_3way
Murshid Habashi,4,4,pages,96,train_val_test,True,has >=3 pages,require_3way
Father Elias Abi Khair,1,1,pages,26,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hassan Khalil,2,2,pages,40,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Michel Kahwaji,25,25,pages,412,train_val_test,True,has >=3 pages,require_3way
Mayor of Kfarshima,13,13,pages,426,train_val_test,True,has >=3 pages,require_3way
Sohayl Tohmeh,28,28,pages,848,train_val_test,True,has >=3 pages,require_3way
Shukri Kanaan,4,4,pages,134,train_val_test,True,has >=3 pages,require_3way
Emily Nasrallah,48,48,pages,602,train_val_test,True,has >=3 pages,require_3way
Thomas & John Oussani,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Brother of Joseph Oussani,1,1,pages,28,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Joseph Oussani,16,16,pages,400,train_val_test,True,has >=3 pages,require_3way
Shukri Kordahi,1,1,pages,32,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Negib Aboussouan,1,1,pages,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Toubia Hanna Rizk & Touma Chidiac,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hanna Younes Abboud,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Bey Al-Helou,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Elias,1,1,pages,10,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Magistrate of Batroun,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jirjis Yuhanna Basil ,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Estephan Adib Salloum,2,2,pages,53,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Boulos El-Mender,10,10,pages,171,train_val_test,True,has >=3 pages,require_3way
Joseph,2,2,pages,34,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Salah Tizani,48,48,pages,875,train_val_test,True,has >=3 pages,require_3way
Father Elias Bassil,3,3,pages,50,train_val_test,True,has >=3 pages,require_3way
Yahia Mansour & Asaad Koury,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Tobia al-Issa,3,3,pages,37,train_val_test,True,has >=3 pages,require_3way
Assad Darouich Zacharias,5,5,pages,94,train_val_test,True,has >=3 pages,require_3way
Asaad Koury Tobia Attallah,3,3,pages,42,train_val_test,True,has >=3 pages,require_3way
Krouger Tobia Attallah,14,14,pages,401,train_val_test,True,has >=3 pages,require_3way
Nadim Attallah,1,1,pages,26,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Toufic El Bacha,6,6,pages,118,train_val_test,True,has >=3 pages,require_3way
Rahma Raad,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Abdullah Maroun,2,2,pages,30,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Youssef Moussa Sadaqa,1,1,pages,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Catherine Yazbek Al-Badawi,4,4,pages,67,train_val_test,True,has >=3 pages,require_3way
Nehme Elias Mikhail,1,1,pages,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Assad Al-Khoury,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Tanios Zakhia Elias Basil,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishara Mar'i Mansour,2,2,pages,42,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Francis Lahoud,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
K. John,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Brother Ibrahim,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Fadlallah Salemeh,12,12,pages,199,train_val_test,True,has >=3 pages,require_3way
Nehad,2,2,pages,18,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Lebanese immigrants,2,2,pages,35,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Dani Al-Sibaqa,1,1,pages,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Abdo Fares,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jamil Youssef Noah,2,2,pages,28,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Elias Karbaj,2,2,pages,32,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Jarhas Hanna Al-Shabtini,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishop Youssef Darian,9,9,pages,163,train_val_test,True,has >=3 pages,require_3way
Youssef Hanna El-Sawda,17,17,pages,339,train_val_test,True,has >=3 pages,require_3way
Sally Aad,1,1,pages,23,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Daud Barkaat,1,1,pages,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Talaat,2,2,pages,30,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Maurice Paul Sarrail,2,2,pages,37,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
