writer,pages_total,units_total,units_label,lines_total,eligibility,included,reason,policy
Habib Abdallah al-Khoury,1,1,pages,22,train_only,True,single page,allow_train_only
Serhal Maroun 'Tiyyeh,1,1,pages,21,train_only,True,single page,allow_train_only
Hanna Estphan,2,2,pages,34,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Slayman al-Farkh,1,1,pages,18,train_only,True,single page,allow_train_only
Habib Boulos Nasr,1,1,pages,20,train_only,True,single page,allow_train_only
Botros Feghaly,3,3,pages,66,train_val_test,True,has >=3 pages,allow_train_only
Toufiq Wehbeh,8,8,pages,157,train_val_test,True,has >=3 pages,allow_train_only
Maronite Bishop of Sidon,2,2,pages,38,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Halim Khoury Saadeh,2,2,pages,44,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Jebrayel Sa'd al 'Alam,1,1,pages,19,train_only,True,single page,allow_train_only
Najib Ayoub,2,2,pages,40,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Youhanna Sfeir,2,2,pages,35,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Bishop Mkhayel Akhrass,5,5,pages,93,train_val_test,True,has >=3 pages,allow_train_only
George Saad,7,7,pages,111,train_val_test,True,has >=3 pages,allow_train_only
Bishop Youseef El Khazen,1,1,pages,22,train_only,True,single page,allow_train_only
Father Elias Najm,2,2,pages,53,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Bishop Aghnathios Mbarak,9,9,pages,163,train_val_test,True,has >=3 pages,allow_train_only
Dr. Abdo Harb,1,1,pages,22,train_only,True,single page,allow_train_only
Fathallah Khoury,4,4,pages,73,train_val_test,True,has >=3 pages,allow_train_only
Antonios Elias,1,1,pages,19,train_only,True,single page,allow_train_only
Francis Hcheme,1,1,pages,21,train_only,True,single page,allow_train_only
Antoine Richa,1,1,pages,25,train_only,True,single page,allow_train_only
Botros El Kfouny,1,1,pages,16,train_only,True,single page,allow_train_only
Salim Maalouf,1,1,pages,16,train_only,True,single page,allow_train_only
Father Yaacoub Awad,1,1,pages,19,train_only,True,single page,allow_train_only
Wadih Salim Karam,1,1,pages,21,train_only,True,single page,allow_train_only
Father Youhanna El Khoury,2,2,pages,32,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Georges Jarjoura,1,1,pages,15,train_only,True,single page,allow_train_only
Father Jerjes El Alam,1,1,pages,20,train_only,True,single page,allow_train_only
Father Botros Dib,1,1,pages,25,train_only,True,single page,allow_train_only
Elias Sarkis,18,18,pages,325,train_val_test,True,has >=3 pages,allow_train_only
Fouad Chehab,21,21,pages,264,train_val_test,True,has >=3 pages,allow_train_only
Hanna Moussa,41,41,pages,876,train_val_test,True,has >=3 pages,allow_train_only
Zaghloul ad-Damour,1,1,pages,19,train_only,True,single page,allow_train_only
Habib Massoud,5,5,pages,100,train_val_test,True,has >=3 pages,allow_train_only
Zaghloul,28,28,pages,505,train_val_test,True,has >=3 pages,allow_train_only
Father Youhanna Habib Baysari,9,9,pages,198,train_val_test,True,has >=3 pages,allow_train_only
Mkhayel Daher,3,3,pages,73,train_val_test,True,has >=3 pages,allow_train_only
Father Youssef Hanna,2,2,pages,46,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Father Youssef Iskandar,1,1,pages,23,train_only,True,single page,allow_train_only
Adib Shiha,1,1,pages,24,train_only,True,single page,allow_train_only
Father Youssef Hanna & Father Botros Hasan,3,3,pages,63,train_val_test,True,has >=3 pages,allow_train_only
Father Botros Hasan,6,6,pages,128,train_val_test,True,has >=3 pages,allow_train_only
Youssef Ibrahim,2,2,pages,37,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Father Youssef Hajj,3,3,pages,63,train_val_test,True,has >=3 pages,allow_train_only
Abdallah Daher,1,1,pages,13,train_only,True,single page,allow_train_only
Mkhayel & Ibrahim Daher,2,2,pages,36,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Tannous Semaan,1,1,pages,16,train_only,True,single page,allow_train_only
Father Mkhayel Zreiby,9,9,pages,200,train_val_test,True,has >=3 pages,allow_train_only
People of Rablah,1,1,pages,15,train_only,True,single page,allow_train_only
Father Boutros Chidiac,1,1,pages,14,train_only,True,single page,allow_train_only
Bishop Antoun Jbeir,1,1,pages,21,train_only,True,single page,allow_train_only
Father Yousef,1,1,pages,17,train_only,True,single page,allow_train_only
Maronite children of Akkar district,1,1,pages,12,train_only,True,single page,allow_train_only
Elias Asaf,2,2,pages,53,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Muhawwel Harouh,1,1,pages,16,train_only,True,single page,allow_train_only
Father Mikhael Hanna,4,4,pages,71,train_val_test,True,has >=3 pages,allow_train_only
Warda El Khoury,1,1,pages,18,train_only,True,single page,allow_train_only
Jean Philipp Kmeid,24,24,pages,532,train_val_test,True,has >=3 pages,allow_train_only
Jerji Nicola Khattar al-Chuayri,2,2,pages,29,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Abd al-Hajj,2,2,pages,27,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Michel Saykali,45,45,pages,791,train_val_test,True,has >=3 pages,allow_train_only
Hanna Ghayth (Juan Gait),68,68,pages,934,train_val_test,True,has >=3 pages,allow_train_only
Yousef Hobeiche,23,23,pages,432,train_val_test,True,has >=3 pages,allow_train_only
Angele Ellis,4,4,pages,75,train_val_test,True,has >=3 pages,allow_train_only
Yousef Hobeiche & Angele Ellis,1,1,pages,12,train_only,True,single page,allow_train_only
Khalil Yossuf Nader Raad,22,22,pages,453,train_val_test,True,has >=3 pages,allow_train_only
Mansour Eid,12,12,pages,271,train_val_test,True,has >=3 pages,allow_train_only
Nassif Mansour,1,1,pages,14,train_only,True,single page,allow_train_only
Peter the Patriarch of Antioch,1,1,pages,24,train_only,True,single page,allow_train_only
Youssef,1,1,pages,21,train_only,True,single page,allow_train_only
Mkhayel Meneem,5,5,pages,123,train_val_test,True,has >=3 pages,allow_train_only
Constantine Elias,5,5,pages,84,train_val_test,True,has >=3 pages,allow_train_only
Maurice Gemayel,6,6,pages,67,train_val_test,True,has >=3 pages,allow_train_only
Murshid Habashi,4,4,pages,96,train_val_test,True,has >=3 pages,allow_train_only
Father Elias Abi Khair,1,1,pages,26,train_only,True,single page,allow_train_only
Hassan Khalil,2,2,pages,40,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Michel Kahwaji,25,25,pages,412,train_val_test,True,has >=3 pages,allow_train_only
Mayor of Kfarshima,13,13,pages,426,train_val_test,True,has >=3 pages,allow_train_only
Sohayl Tohmeh,28,28,pages,848,train_val_test,True,has >=3 pages,allow_train_only
Shukri Kanaan,4,4,pages,134,train_val_test,True,has >=3 pages,allow_train_only
Emily Nasrallah,48,48,pages,602,train_val_test,True,has >=3 pages,allow_train_only
Thomas & John Oussani,1,1,pages,14,train_only,True,single page,allow_train_only
Brother of Joseph Oussani,1,1,pages,28,train_only,True,single page,allow_train_only
Joseph Oussani,16,16,pages,400,train_val_test,True,has >=3 pages,allow_train_only
Shukri Kordahi,1,1,pages,32,train_only,True,single page,allow_train_only
Negib Aboussouan,1,1,pages,24,train_only,True,single page,allow_train_only
Toubia Hanna Rizk & Touma Chidiac,1,1,pages,17,train_only,True,single page,allow_train_only
Hanna Younes Abboud,1,1,pages,20,train_only,True,single page,allow_train_only
Youssef Bey Al-Helou,1,1,pages,15,train_only,True,single page,allow_train_only
Father Elias,1,1,pages,10,train_only,True,single page,allow_train_only
Magistrate of Batroun,1,1,pages,17,train_only,True,single page,allow_train_only
Jirjis Yuhanna Basil ,1,1,pages,17,train_only,True,single page,allow_train_only
Estephan Adib Salloum,2,2,pages,53,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Father Boulos El-Mender,10,10,pages,171,train_val_test,True,has >=3 pages,allow_train_only
Joseph,2,2,pages,34,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Salah Tizani,48,48,pages,875,train_val_test,True,has >=3 pages,allow_train_only
Father Elias Bassil,3,3,pages,50,train_val_test,True,has >=3 pages,allow_train_only
Yahia Mansour & Asaad Koury,1,1,pages,15,train_only,True,single page,allow_train_only
Father Tobia al-Issa,3,3,pages,37,train_val_test,True,has >=3 pages,allow_train_only
Assad Darouich Zacharias,5,5,pages,94,train_val_test,True,has >=3 pages,allow_train_only
Asaad Koury Tobia Attallah,3,3,pages,42,train_val_test,True,has >=3 pages,allow_train_only
Krouger Tobia Attallah,14,14,pages,401,train_val_test,True,has >=3 pages,allow_train_only
Nadim Attallah,1,1,pages,26,train_only,True,single page,allow_train_only
Toufic El Bacha,6,6,pages,118,train_val_test,True,has >=3 pages,allow_train_only
Rahma Raad,1,1,pages,14,train_only,True,single page,allow_train_only
Youssef Abdullah Maroun,2,2,pages,30,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Youssef Moussa Sadaqa,1,1,pages,16,train_only,True,single page,allow_train_only
Catherine Yazbek Al-Badawi,4,4,pages,67,train_val_test,True,has >=3 pages,allow_train_only
Nehme Elias Mikhail,1,1,pages,12,train_only,True,single page,allow_train_only
Assad Al-Khoury,1,1,pages,20,train_only,True,single page,allow_train_only
Tanios Zakhia Elias Basil,1,1,pages,14,train_only,True,single page,allow_train_only
Bishara Mar'i Mansour,2,2,pages,42,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Francis Lahoud,1,1,pages,20,train_only,True,single page,allow_train_only
K. John,1,1,pages,15,train_only,True,single page,allow_train_only
Brother Ibrahim,1,1,pages,15,train_only,True,single page,allow_train_only
Youssef Fadlallah Salemeh,12,12,pages,199,train_val_test,True,has >=3 pages,allow_train_only
Nehad,2,2,pages,18,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Lebanese immigrants,2,2,pages,35,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Dani Al-Sibaqa,1,1,pages,24,train_only,True,single page,allow_train_only
Abdo Fares,1,1,pages,17,train_only,True,single page,allow_train_only
Jamil Youssef Noah,2,2,pages,28,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Elias Karbaj,2,2,pages,32,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Jarhas Hanna Al-Shabtini,1,1,pages,17,train_only,True,single page,allow_train_only
Bishop Youssef Darian,9,9,pages,163,train_val_test,True,has >=3 pages,allow_train_only
Youssef Hanna El-Sawda,17,17,pages,339,train_val_test,True,has >=3 pages,allow_train_only
Sally Aad,1,1,pages,23,train_only,True,single page,allow_train_only
Daud Barkaat,1,1,pages,19,train_only,True,single page,allow_train_only
Talaat,2,2,pages,30,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Maurice Paul Sarrail,2,2,pages,37,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
