seed,writer,splits,pages_total,lines_total
570,Father Elias Bassil,"test,train,val",3,50
570,Father Elias Najm,"train,val",2,53
570,Father Jerjes El Alam,train,1,20
570,Father Mikhael Hanna,"test,train,val",4,71
570,Father Mkhayel Zreiby,"test,train,val",9,200
570,Father Tobia al-Issa,"test,train,val",3,37
570,Father Yaacoub Awad,train,1,19
570,Father Youhanna El Khoury,"test,train",2,32
570,Father Youhanna Habib Baysari,"test,train,val",9,198
570,Father Yousef,train,1,17
570,Father Youssef Hajj,"test,train,val",3,63
570,Father Youssef Hanna,"test,train",2,46
570,Father Youssef Hanna & Father Botros Hasan,"test,train,val",3,63
570,Father Youssef Iskandar,train,1,23
570,Father Youssef Nassar,train,1,16
570,Felix Faris,"test,train,val",27,480
570,Fouad Chehab,"test,train,val",21,264
570,Francis Hcheme,train,1,21
570,Francis Lahoud,train,1,20
570,George Saad,"test,train,val",7,111
570,Georges Jarjoura,train,1,15
570,Ghnatyos Mbarak,"test,train,val",5,95
570,Girgi Dimitri Sursock,"test,train,val",8,100
570,Habib,train,1,18
570,Habib Abdallah al-Khoury,train,1,22
570,Habib Abi Rached,train,1,21
570,Habib Boulos Nasr,train,1,20
570,Habib Massoud,"test,train,val",5,100
570,Halim Khoury Saadeh,"test,train",2,44
570,Hanna Estphan,"test,train",2,34
570,Hanna Ghayth (Juan Gait),"test,train,val",68,934
570,Hanna Moussa,"test,train,val",41,876
570,Hanna Younes Abboud,train,1,20
570,Hassan Khalil,"test,train",2,40
570,Ibrahim Mejahid Al-Jaza'eri,"test,train,val",3,62
570,Jamil Youssef Noah,"test,train",2,28
570,Jarhas Hanna Al-Shabtini,train,1,17
570,Jean Philipp Kmeid,"test,train,val",24,532
570,Jebrayel Sa'd al 'Alam,train,1,19
570,JerJi Ass'ad Nader,train,1,14
570,Jerji Nicola Khattar al-Chuayri,"test,train",2,29
570,Jirjis Yuhanna Basil ,train,1,17
570,Jirjis alKsus,"train,val",2,26
570,Joseph,"train,val",2,34
570,Joseph Oussani,"test,train,val",16,400
570,K. John,train,1,15
570,Keserwan Finance Officer,train,1,14
570,Khalil Yossuf Nader Raad,"test,train,val",22,453
570,Krouger Tobia Attallah,"test,train,val",14,401
570,Lebanese immigrants,"train,val",2,35
570,Magistrate of Batroun,train,1,17
570,Malvina Choieree,train,1,20
570,Mansour Eid,"test,train,val",12,271
570,Margaret El Haddad,"train,val",2,40
570,Maronite Bishop of Sidon,"train,val",2,38
570,Maronite children of Akkar district,train,1,12
570,Maroun Al-Khoury Maroun,"train,val",2,37
570,Mary Khoury,train,1,15
570,Maurice Gemayel,"test,train,val",6,67
570,Maurice Paul Sarrail,"train,val",2,37
570,May Ziadeh,"test,train,val",12,202
570,Mayor of Kfarshima,"test,train,val",13,426
570,Michel Kahwaji,"test,train,val",25,412
570,Michel Saykali,"test,train,val",45,791
570,Mkhayel & Ibrahim Daher,"test,train",2,36
570,Mkhayel Daher,"test,train,val",3,73
570,Mkhayel Meneem,"test,train,val",5,123
570,Mohammed Amin al-Husseini ,"test,train,val",3,49
570,Mousssa Farhat Farah,train,1,14
570,Muhammad Hussain Najafi,"test,train",2,32
570,Muhawwel Harouh,train,1,16
570,Murshid Habashi,"test,train,val",4,96
570,Nadim Attallah,train,1,26
570,Najib Ayoub,"test,train",2,40
570,Naoum Mokarzel,"test,train,val",3,58
570,Nassar Tanios Al Samarani,train,1,17
570,Nassif Mansour,train,1,14
570,Negib Aboussouan,train,1,24
570,Nehad,"test,train",2,18
570,Nehme Elias Mikhail,train,1,12
570,Patriarch Elias Hoayek,"test,train,val",4,68
570,People of Rablah,train,1,15
570,Peter the Patriarch of Antioch,train,1,24
570,Prof. Ign. Kratchkovsky,"test,train,val",6,89
570,Rahma Raad,train,1,14
570,Salah Tizani,"test,train,val",48,875
570,Salim Maalouf,train,1,16
570,Sally Aad,train,1,23
570,Serhal Maroun 'Tiyyeh,train,1,21
570,Serhal Ounaissy,train,1,17
570,Shibli Barakat witnesses,train,1,11
570,Shibli N. Damus,"test,train,val",13,266
570,Shukri Kanaan,"test,train,val",4,134
570,Shukri Kordahi,train,1,32
570,Sister Victor N. Khoury,"test,train,val",3,57
570,Slayman al-Farkh,train,1,18
570,Sohayl Tohmeh,"test,train,val",28,848
570,Talaat,"train,val",2,30
570,Tanios Zakhia Elias Basil,train,1,14
570,Tannous Semaan,train,1,16
570,Tanos Youssef Harfouche,train,1,20
570,Tawfiq,train,1,17
570,Thomas & John Oussani,train,1,14
570,Toubia Hanna Rizk & Touma Chidiac,train,1,17
570,Toufic El Bacha,"test,train,val",6,118
570,Toufiq Wehbeh,"test,train,val",8,157
570,Victor Shemil,train,1,12
570,Wadih Salim Karam,train,1,21
570,Warda El Khoury,train,1,18
570,Yahia Mansour & Asaad Koury,train,1,15
570,Youhanna Sfeir,"test,train",2,35
570,Your nephew Maroun,"test,train,val",4,68
570,Your son George,"test,train,val",11,135
570,Yousef Hobeiche,"test,train,val",23,432
570,Yousef Hobeiche & Angele Ellis,train,1,12
570,Youssef,train,1,21
570,Youssef Abdullah Maroun,"train,val",2,30
570,Youssef Bey Al-Helou,train,1,15
570,Youssef Fadlallah Salemeh,"test,train,val",12,199
570,Youssef Hanna El-Sawda,"test,train,val",17,339
570,Youssef Ibrahim,"train,val",2,37
570,Youssef Ibrahim Yazbek,"test,train,val",3,72
570,Youssef Moussa Sadaqa,train,1,16
570,Youssef Nakad,train,1,22
570,Zaghloul,"test,train,val",28,505
570,Zaghloul ad-Damour,train,1,19
