seed,writer,pages_total,lines_total,pages_train,pages_val,pages_test,lines_train,lines_val,lines_test,min_lines_page,max_lines_page,splittable_3_way,has_val,has_test
570,Elie Maroun Khalil,4,69,2,1,1,31,17,21,9,22,True,True,True
570,Aziz Khoury,3,47,1,1,1,14,21,12,12,21,True,True,True
570,Ghnatyos Mbarak,5,95,2,1,2,32,26,37,15,26,True,True,True
570,Botros Feghaly,3,66,1,1,1,21,24,21,21,24,True,True,True
570,Toufiq Wehbeh,8,157,3,2,3,58,38,61,17,22,True,True,True
570,Bishop Mkhayel Akhrass,5,93,3,1,1,58,14,21,14,22,True,True,True
570,George Saad,7,111,5,1,1,73,19,19,10,19,True,True,True
570,Bishop Aghnathios Mbarak,9,163,7,1,1,131,15,17,15,23,True,True,True
570,Fathallah Khoury,4,73,2,1,1,39,14,20,14,22,True,True,True
570,Elias Sarkis,18,325,16,1,1,287,22,16,5,25,True,True,True
570,Fouad Chehab,21,264,19,1,1,232,11,21,6,21,True,True,True
570,Hanna Moussa,41,876,39,1,1,834,21,21,17,27,True,True,True
570,Habib Massoud,5,100,1,2,2,17,49,34,14,26,True,True,True
570,Zaghloul,28,505,9,10,9,157,175,173,13,26,True,True,True
570,Father Youhanna Habib Baysari,9,198,7,1,1,151,24,23,13,28,True,True,True
570,Mkhayel Daher,3,73,1,1,1,24,24,25,24,25,True,True,True
570,Father Youssef Hanna & Father Botros Hasan,3,63,1,1,1,22,18,23,18,23,True,True,True
570,Father Botros Hasan,6,128,4,1,1,80,24,24,19,24,True,True,True
570,Father Youssef Hajj,3,63,1,1,1,22,21,20,20,22,True,True,True
570,Father Mkhayel Zreiby,9,200,7,1,1,169,13,18,13,26,True,True,True
570,Father Mikhael Hanna,4,71,2,1,1,38,16,17,16,21,True,True,True
570,Jean Philipp Kmeid,24,532,7,9,8,157,191,184,5,30,True,True,True
570,Michel Saykali,45,791,43,1,1,757,17,17,5,28,True,True,True
570,Hanna Ghayth (Juan Gait),68,934,66,1,1,905,14,15,9,16,True,True,True
570,Yousef Hobeiche,23,432,21,1,1,392,22,18,14,25,True,True,True
570,Angele Ellis,4,75,2,1,1,38,27,10,10,27,True,True,True
570,Khalil Yossuf Nader Raad,22,453,20,1,1,414,19,20,5,32,True,True,True
570,Mansour Eid,12,271,10,1,1,223,25,23,18,29,True,True,True
570,Mkhayel Meneem,5,123,3,1,1,72,26,25,23,26,True,True,True
570,Constantine Elias,5,84,3,1,1,47,17,20,8,21,True,True,True
570,Maurice Gemayel,6,67,4,1,1,44,12,11,6,17,True,True,True
570,Murshid Habashi,4,96,2,1,1,48,26,22,22,26,True,True,True
570,Michel Kahwaji,25,412,23,1,1,376,21,15,6,22,True,True,True
570,Mayor of Kfarshima,13,426,11,1,1,356,38,32,23,40,True,True,True
570,Sohayl Tohmeh,28,848,24,2,2,722,60,66,14,37,True,True,True
570,Shukri Kanaan,4,134,2,1,1,69,32,33,32,36,True,True,True
570,Emily Nasrallah,48,602,46,1,1,577,14,11,8,15,True,True,True
570,Joseph Oussani,16,400,5,6,5,125,158,117,23,29,True,True,True
570,Father Boulos El-Mender,10,171,8,1,1,134,17,20,12,23,True,True,True
570,Salah Tizani,48,875,17,15,16,310,279,286,15,22,True,True,True
570,Father Elias Bassil,3,50,1,1,1,21,17,12,12,21,True,True,True
570,Father Tobia al-Issa,3,37,1,1,1,12,12,13,12,13,True,True,True
570,Assad Darouich Zacharias,5,94,3,1,1,52,17,25,17,25,True,True,True
570,Asaad Koury Tobia Attallah,3,42,1,1,1,12,10,20,10,20,True,True,True
570,Krouger Tobia Attallah,14,401,12,1,1,349,26,26,25,32,True,True,True
570,Toufic El Bacha,6,118,4,1,1,77,21,20,17,22,True,True,True
570,Catherine Yazbek Al-Badawi,4,67,2,1,1,32,18,17,15,18,True,True,True
570,Youssef Fadlallah Salemeh,12,199,10,1,1,173,13,13,12,20,True,True,True
570,Bishop Youssef Darian,9,163,7,1,1,134,14,15,14,22,True,True,True
570,Youssef Hanna El-Sawda,17,339,15,1,1,298,21,20,10,28,True,True,True
1073,Your nephew Maroun,4,68,1,2,1,20,29,19,13,20,True,True,True
1073,Sister Victor N. Khoury,3,57,1,1,1,19,18,20,18,20,True,True,True
1073,Your son George,11,135,9,1,1,110,14,11,7,15,True,True,True
1073,Amin Farhat,3,66,1,1,1,25,20,21,20,25,True,True,True
1073,Patriarch Elias Hoayek,4,68,1,2,1,22,30,16,12,22,True,True,True
1073,Bishop Boulos Akl,3,47,1,1,1,18,13,16,13,18,True,True,True
1073,Ameen Rihani,43,949,41,1,1,903,22,24,11,37,True,True,True
1073,Shibli N. Damus,13,266,3,4,6,88,75,103,11,48,True,True,True
1073,Naoum Mokarzel,3,58,1,1,1,20,20,18,18,20,True,True,True
1073,Eissa alKhouri,6,127,2,2,2,40,44,43,18,25,True,True,True
1073,Girgi Dimitri Sursock,8,100,6,1,1,80,13,7,7,15,True,True,True
1073,Felix Faris,27,480,9,10,8,159,170,151,5,27,True,True,True
1073,May Ziadeh,12,202,10,1,1,160,20,22,10,23,True,True,True
1073,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,270,7,7,6,104,88,78,3,27,True,True,True
1073,Mohammed Amin al-Husseini ,3,49,1,1,1,17,19,13,13,19,True,True,True
1073,Prof. Ign. Kratchkovsky,6,89,4,1,1,63,13,13,9,21,True,True,True
1073,Ibrahim Mejahid Al-Jaza'eri,3,62,1,1,1,25,12,25,12,25,True,True,True
1073,Daoud Mujaes,4,76,2,1,1,39,19,18,18,21,True,True,True
1073,Bechara El Khoury,6,107,4,1,1,83,16,8,8,26,True,True,True
1073,Youssef Ibrahim Yazbek,3,72,1,1,1,24,28,20,20,28,True,True,True
1073,Elias Abu Shabaki,8,132,2,3,3,33,50,49,13,19,True,True,True
1073,Elie Maroun Khalil,4,69,2,1,1,38,9,22,9,22,True,True,True
1073,Aziz Khoury,3,47,1,1,1,21,12,14,12,21,True,True,True
1073,Ghnatyos Mbarak,5,95,3,1,1,58,16,21,15,26,True,True,True
1073,Botros Feghaly,3,66,1,1,1,21,21,24,21,24,True,True,True
1073,Toufiq Wehbeh,8,157,6,1,1,114,22,21,17,22,True,True,True
1073,Bishop Mkhayel Akhrass,5,93,3,1,1,62,14,17,14,22,True,True,True
1073,George Saad,7,111,3,2,2,44,29,38,10,19,True,True,True
1073,Bishop Aghnathios Mbarak,9,163,7,1,1,132,16,15,15,23,True,True,True
1073,Fathallah Khoury,4,73,2,1,1,42,17,14,14,22,True,True,True
1073,Elias Sarkis,18,325,16,1,1,285,20,20,5,25,True,True,True
1073,Fouad Chehab,21,264,19,1,1,242,11,11,6,21,True,True,True
1073,Hanna Moussa,41,876,39,1,1,832,19,25,17,27,True,True,True
1073,Habib Massoud,5,100,3,1,1,54,20,26,14,26,True,True,True
1073,Zaghloul,28,505,26,1,1,454,26,25,13,26,True,True,True
1073,Father Youhanna Habib Baysari,9,198,7,1,1,149,26,23,13,28,True,True,True
1073,Mkhayel Daher,3,73,1,1,1,25,24,24,24,25,True,True,True
1073,Father Youssef Hanna & Father Botros Hasan,3,63,1,1,1,22,18,23,18,23,True,True,True
1073,Father Botros Hasan,6,128,4,1,1,89,20,19,19,24,True,True,True
1073,Father Youssef Hajj,3,63,1,1,1,22,20,21,20,22,True,True,True
1073,Father Mkhayel Zreiby,9,200,3,4,2,72,89,39,13,26,True,True,True
1073,Father Mikhael Hanna,4,71,1,1,2,21,17,33,16,21,True,True,True
1073,Jean Philipp Kmeid,24,532,22,1,1,482,23,27,5,30,True,True,True
1073,Michel Saykali,45,791,43,1,1,757,20,14,5,28,True,True,True
1073,Hanna Ghayth (Juan Gait),68,934,66,1,1,908,13,13,9,16,True,True,True
1073,Yousef Hobeiche,23,432,21,1,1,399,16,17,14,25,True,True,True
1073,Angele Ellis,4,75,2,1,1,25,23,27,10,27,True,True,True
1073,Khalil Yossuf Nader Raad,22,453,20,1,1,407,24,22,5,32,True,True,True
1073,Mansour Eid,12,271,4,4,4,88,90,93,18,29,True,True,True
1073,Mkhayel Meneem,5,123,3,1,1,75,23,25,23,26,True,True,True
1073,Constantine Elias,5,84,3,1,1,47,20,17,8,21,True,True,True
1073,Maurice Gemayel,6,67,4,1,1,44,12,11,6,17,True,True,True
1073,Murshid Habashi,4,96,2,1,1,48,22,26,22,26,True,True,True
1073,Michel Kahwaji,25,412,7,8,10,131,140,141,6,22,True,True,True
1073,Mayor of Kfarshima,13,426,11,1,1,370,23,33,23,40,True,True,True
1073,Sohayl Tohmeh,28,848,25,2,1,752,60,36,14,37,True,True,True
1073,Shukri Kanaan,4,134,2,1,1,69,32,33,32,36,True,True,True
1073,Emily Nasrallah,48,602,46,1,1,579,12,11,8,15,True,True,True
1073,Joseph Oussani,16,400,5,5,6,121,126,153,23,29,True,True,True
1073,Father Boulos El-Mender,10,171,8,1,1,135,16,20,12,23,True,True,True
1073,Salah Tizani,48,875,16,16,16,296,282,297,15,22,True,True,True
1073,Father Elias Bassil,3,50,1,1,1,12,21,17,12,21,True,True,True
1073,Father Tobia al-Issa,3,37,1,1,1,12,12,13,12,13,True,True,True
1073,Assad Darouich Zacharias,5,94,3,1,1,52,17,25,17,25,True,True,True
1073,Asaad Koury Tobia Attallah,3,42,1,1,1,20,12,10,10,20,True,True,True
1073,Krouger Tobia Attallah,14,401,12,1,1,343,27,31,25,32,True,True,True
1073,Toufic El Bacha,6,118,2,2,2,37,41,40,17,22,True,True,True
1073,Catherine Yazbek Al-Badawi,4,67,1,2,1,17,33,17,15,18,True,True,True
1073,Youssef Fadlallah Salemeh,12,199,5,4,3,71,68,60,12,20,True,True,True
1073,Bishop Youssef Darian,9,163,3,3,3,56,54,53,14,22,True,True,True
1073,Youssef Hanna El-Sawda,17,339,15,1,1,308,10,21,10,28,True,True,True
