writer,pages_total,units_total,units_label,lines_total,eligibility,included,reason,policy
Youhanna Sfeir,2,1,documents,35,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishop Mkhayel Akhrass,5,5,documents,93,train_val_test,True,has >=3 pages,require_3way
George Saad,7,2,documents,111,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Bishop Youseef El Khazen,1,1,documents,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Elias Najm,2,1,documents,53,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishop Aghnathios Mbarak,9,5,documents,163,train_val_test,True,has >=3 pages,require_3way
Dr. Abdo Harb,1,1,documents,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Fathallah Khoury,4,2,documents,73,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Antonios Elias,1,1,documents,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Francis Hcheme,1,1,documents,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Antoine Richa,1,1,documents,25,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Botros El Kfouny,1,1,documents,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Salim Maalouf,1,1,documents,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Yaacoub Awad,1,1,documents,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Wadih Salim Karam,1,1,documents,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Youhanna El Khoury,2,1,documents,32,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Georges Jarjoura,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Jerjes El Alam,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Botros Dib,1,1,documents,25,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Sarkis,18,4,documents,325,train_val_test,True,has >=3 pages,require_3way
Fouad Chehab,21,1,documents,264,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hanna Moussa,41,2,documents,876,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Zaghloul ad-Damour,1,1,documents,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Massoud,5,5,documents,100,train_val_test,True,has >=3 pages,require_3way
Zaghloul,28,19,documents,505,train_val_test,True,has >=3 pages,require_3way
Father Youhanna Habib Baysari,9,4,documents,198,train_val_test,True,has >=3 pages,require_3way
Mkhayel Daher,3,3,documents,73,train_val_test,True,has >=3 pages,require_3way
Father Youssef Hanna,2,2,documents,46,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Iskandar,1,1,documents,23,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Adib Shiha,1,1,documents,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Hanna & Father Botros Hasan,3,2,documents,63,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Botros Hasan,6,5,documents,128,train_val_test,True,has >=3 pages,require_3way
Youssef Ibrahim,2,1,documents,37,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Hajj,3,3,documents,63,train_val_test,True,has >=3 pages,require_3way
Abdallah Daher,1,1,documents,13,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Mkhayel & Ibrahim Daher,2,1,documents,36,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Tannous Semaan,1,1,documents,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Mkhayel Zreiby,9,4,documents,200,train_val_test,True,has >=3 pages,require_3way
People of Rablah,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Boutros Chidiac,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishop Antoun Jbeir,1,1,documents,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Yousef,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Maronite children of Akkar district,1,1,documents,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Asaf,2,1,documents,53,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Muhawwel Harouh,1,1,documents,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Mikhael Hanna,4,2,documents,71,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Warda El Khoury,1,1,documents,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jean Philipp Kmeid,24,10,documents,532,train_val_test,True,has >=3 pages,require_3way
Jerji Nicola Khattar al-Chuayri,2,1,documents,29,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Abd al-Hajj,2,1,documents,27,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Michel Saykali,45,22,documents,791,train_val_test,True,has >=3 pages,require_3way
Hanna Ghayth (Juan Gait),68,3,documents,934,train_val_test,True,has >=3 pages,require_3way
Yousef Hobeiche,23,7,documents,432,train_val_test,True,has >=3 pages,require_3way
Angele Ellis,4,4,documents,75,train_val_test,True,has >=3 pages,require_3way
Yousef Hobeiche & Angele Ellis,1,1,documents,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Khalil Yossuf Nader Raad,22,13,documents,453,train_val_test,True,has >=3 pages,require_3way
Mansour Eid,12,2,documents,271,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Nassif Mansour,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Peter the Patriarch of Antioch,1,1,documents,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef,1,1,documents,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Mkhayel Meneem,5,2,documents,123,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Constantine Elias,5,2,documents,84,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Maurice Gemayel,6,6,documents,67,train_val_test,True,has >=3 pages,require_3way
Murshid Habashi,4,1,documents,96,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Elias Abi Khair,1,1,documents,26,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hassan Khalil,2,1,documents,40,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Michel Kahwaji,25,4,documents,412,train_val_test,True,has >=3 pages,require_3way
Mayor of Kfarshima,13,2,documents,426,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Sohayl Tohmeh,28,1,documents,848,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Shukri Kanaan,4,1,documents,134,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Emily Nasrallah,48,8,documents,602,train_val_test,True,has >=3 pages,require_3way
Thomas & John Oussani,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Brother of Joseph Oussani,1,1,documents,28,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Joseph Oussani,16,1,documents,400,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Shukri Kordahi,1,1,documents,32,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Negib Aboussouan,1,1,documents,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Toubia Hanna Rizk & Touma Chidiac,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hanna Younes Abboud,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Bey Al-Helou,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Elias,1,1,documents,10,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Magistrate of Batroun,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jirjis Yuhanna Basil ,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Estephan Adib Salloum,2,1,documents,53,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Boulos El-Mender,10,9,documents,171,train_val_test,True,has >=3 pages,require_3way
Joseph,2,1,documents,34,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Salah Tizani,48,2,documents,875,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Elias Bassil,3,3,documents,50,train_val_test,True,has >=3 pages,require_3way
Yahia Mansour & Asaad Koury,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Tobia al-Issa,3,3,documents,37,train_val_test,True,has >=3 pages,require_3way
Assad Darouich Zacharias,5,3,documents,94,train_val_test,True,has >=3 pages,require_3way
Asaad Koury Tobia Attallah,3,3,documents,42,train_val_test,True,has >=3 pages,require_3way
Krouger Tobia Attallah,14,13,documents,401,train_val_test,True,has >=3 pages,require_3way
Nadim Attallah,1,1,documents,26,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Toufic El Bacha,6,5,documents,118,train_val_test,True,has >=3 pages,require_3way
Rahma Raad,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Abdullah Maroun,2,2,documents,30,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Youssef Moussa Sadaqa,1,1,documents,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Catherine Yazbek Al-Badawi,4,4,documents,67,train_val_test,True,has >=3 pages,require_3way
Nehme Elias Mikhail,1,1,documents,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Assad Al-Khoury,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Tanios Zakhia Elias Basil,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishara Mar'i Mansour,2,2,documents,42,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Francis Lahoud,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
K. John,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Brother Ibrahim,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Fadlallah Salemeh,12,7,documents,199,train_val_test,True,has >=3 pages,require_3way
Nehad,2,1,documents,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Lebanese immigrants,2,1,documents,35,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Dani Al-Sibaqa,1,1,documents,24,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Abdo Fares,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jamil Youssef Noah,2,1,documents,28,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Karbaj,2,2,documents,32,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Jarhas Hanna Al-Shabtini,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bishop Youssef Darian,9,9,documents,163,train_val_test,True,has >=3 pages,require_3way
Youssef Hanna El-Sawda,17,3,documents,339,train_val_test,True,has >=3 pages,require_3way
Sally Aad,1,1,documents,23,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Daud Barkaat,1,1,documents,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Talaat,2,1,documents,30,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Maurice Paul Sarrail,2,1,documents,37,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
