seed,writer,splits,pages_total,lines_total
1073,Salah Tizani,"test,train,val",48,875
1073,Salim Maalouf,train,1,16
1073,Sally Aad,train,1,23
1073,Serhal Maroun 'Tiyyeh,train,1,21
1073,Serhal Ounaissy,train,1,17
1073,Shibli Barakat witnesses,train,1,11
1073,Shibli N. Damus,"test,train,val",13,266
1073,Shukri Kanaan,"test,train,val",4,134
1073,Shukri Kordahi,train,1,32
1073,Sister Victor N. Khoury,"test,train,val",3,57
1073,Slayman al-Farkh,train,1,18
1073,Sohayl Tohmeh,"test,train,val",28,848
1073,Talaat,"test,train",2,30
1073,Tanios Zakhia Elias Basil,train,1,14
1073,Tannous Semaan,train,1,16
1073,Tanos Youssef Harfouche,train,1,20
1073,Tawfiq,train,1,17
1073,Thomas & John Oussani,train,1,14
1073,Toubia Hanna Rizk & Touma Chidiac,train,1,17
1073,Toufic El Bacha,"test,train,val",6,118
1073,Toufiq Wehbeh,"test,train,val",8,157
1073,Victor Shemil,train,1,12
1073,Wadih Salim Karam,train,1,21
1073,Warda El Khoury,train,1,18
1073,Yahia Mansour & Asaad Koury,train,1,15
1073,Youhanna Sfeir,"test,train",2,35
1073,Your nephew Maroun,"test,train,val",4,68
1073,Your son George,"test,train,val",11,135
1073,Yousef Hobeiche,"test,train,val",23,432
1073,Yousef Hobeiche & Angele Ellis,train,1,12
1073,Youssef,train,1,21
1073,Youssef Abdullah Maroun,"train,val",2,30
1073,Youssef Bey Al-Helou,train,1,15
1073,Youssef Fadlallah Salemeh,"test,train,val",12,199
1073,Youssef Hanna El-Sawda,"test,train,val",17,339
1073,Youssef Ibrahim,"test,train",2,37
1073,Youssef Ibrahim Yazbek,"test,train,val",3,72
1073,Youssef Moussa Sadaqa,train,1,16
1073,Youssef Nakad,train,1,22
1073,Zaghloul,"test,train,val",28,505
1073,Zaghloul ad-Damour,train,1,19
