Unnamed: 0,precision,recall,f1-score,support
Murshid Habashi,0.9257 (0.0585),0.8858 (0.0557),0.9053 (0.0570),26.0
Michel Kahwaji,0.5349 (0.2430),0.9905 (0.0134),0.6627 (0.1841),141.0
Mayor of Kfarshima,0.2956 (0.0609),0.6408 (0.2547),0.4012 (0.1055),33.0
Sohayl Tohmeh,0.6154 (0.0329),0.9579 (0.0492),0.7478 (0.0200),36.0
Shukri Kanaan,0.3429 (0.1296),0.2222 (0.1428),0.2509 (0.1244),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9832 (0.0180),0.9943 (0.0081),0.9886 (0.0087),153.0
Father Boulos El-Mender,0.5673 (0.1154),0.5405 (0.0573),0.5507 (0.0830),20.0
Salah Tizani,0.8798 (0.1353),0.9989 (0.0016),0.9297 (0.0805),297.0
Father Elias Bassil,0.0556 (0.0786),0.0278 (0.0393),0.0370 (0.0524),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2594 (0.1435),0.4667 (0.3771),0.2565 (0.0838),25.0
Asaad Koury Tobia Attallah,0.3333 (0.4714),0.0833 (0.1179),0.1333 (0.1886),10.0
Krouger Tobia Attallah,0.3228 (0.1892),0.6625 (0.4240),0.4324 (0.2643),31.0
Toufic El Bacha,0.8750 (0.0550),1.0000 (0.0000),0.9324 (0.0318),40.0
Catherine Yazbek Al-Badawi,0.8889 (0.1571),0.3137 (0.2465),0.4149 (0.2795),17.0
Youssef Fadlallah Salemeh,0.6309 (0.2078),0.7888 (0.1590),0.6514 (0.0930),60.0
Bishop Youssef Darian,0.4940 (0.3589),0.6156 (0.4355),0.5449 (0.3879),53.0
Youssef Hanna El-Sawda,0.6779 (0.2289),0.9134 (0.0659),0.7496 (0.1161),21.0
accuracy,0.7590 (0.0295),0.7590 (0.0295),0.7590 (0.0295),0.7719369187221997
macro avg,0.6422 (0.0076),0.6780 (0.0031),0.6213 (0.0072),2473.0
weighted avg,0.7705 (0.0176),0.7590 (0.0295),0.7387 (0.0265),2473.0
