Unnamed: 0,precision,recall,f1-score,support
Father Elias Bassil,0.1111 (0.1571),0.0278 (0.0393),0.0444 (0.0629),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2632 (0.0546),0.4173 (0.3103),0.2430 (0.1307),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3412 (0.2521),0.6142 (0.4143),0.4290 (0.3059),31.0
Toufic El Bacha,0.6630 (0.2691),0.9167 (0.0850),0.7464 (0.2318),40.0
Catherine Yazbek Al-Badawi,0.1905 (0.2694),0.1569 (0.2218),0.1720 (0.2433),17.0
Youssef Fadlallah Salemeh,0.5772 (0.2993),0.6439 (0.1390),0.5290 (0.2075),60.0
Bishop Youssef Darian,0.4469 (0.3399),0.4702 (0.3626),0.4320 (0.3055),53.0
Youssef Hanna El-Sawda,0.6609 (0.1978),0.8494 (0.1083),0.7215 (0.1052),21.0
accuracy,0.6333 (0.0481),0.6333 (0.0481),0.6333 (0.0481),0.6736756975333603
macro avg,0.4719 (0.0900),0.5248 (0.0877),0.4536 (0.0954),2473.0
weighted avg,0.6500 (0.0516),0.6333 (0.0481),0.6079 (0.0570),2473.0
