Unnamed: 0,precision,recall,f1-score,support
Father Youssef Hanna & Father Botros Hasan,0.1212 (0.1714),0.0580 (0.0820),0.0784 (0.1109),23.0
Father Botros Hasan,0.5612 (0.1014),0.6974 (0.1079),0.6178 (0.0903),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4835 (0.2697),0.7051 (0.1723),0.5454 (0.2129),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.1515 (0.2143),0.2083 (0.2946),33.0
Jean Philipp Kmeid,0.6357 (0.1503),0.9764 (0.0333),0.7569 (0.1114),27.0
Michel Saykali,0.5071 (0.1423),0.9762 (0.0337),0.6576 (0.1215),14.0
Hanna Ghayth (Juan Gait),0.7411 (0.1191),1.0000 (0.0000),0.8458 (0.0799),13.0
Yousef Hobeiche,0.6574 (0.1899),0.8653 (0.0995),0.7234 (0.0908),17.0
Angele Ellis,0.2583 (0.1830),0.0617 (0.0462),0.0988 (0.0724),27.0
Khalil Yossuf Nader Raad,0.3290 (0.0905),1.0000 (0.0000),0.4878 (0.1078),22.0
Mansour Eid,0.7911 (0.1300),0.6939 (0.2234),0.6986 (0.0608),93.0
Mkhayel Meneem,0.9394 (0.0857),0.8267 (0.0822),0.8791 (0.0821),25.0
Constantine Elias,0.8364 (0.1863),0.7245 (0.2352),0.7211 (0.1240),17.0
Maurice Gemayel,0.2295 (0.1650),0.4646 (0.3295),0.3070 (0.2195),11.0
Murshid Habashi,0.5855 (0.2119),0.5524 (0.3642),0.5293 (0.3311),26.0
Michel Kahwaji,0.5924 (0.2616),0.9589 (0.0294),0.6938 (0.2035),141.0
Mayor of Kfarshima,0.2720 (0.0825),0.5578 (0.2777),0.3473 (0.0941),33.0
Sohayl Tohmeh,0.5856 (0.1227),0.7946 (0.1465),0.6675 (0.1090),36.0
Shukri Kanaan,0.2577 (0.1886),0.4141 (0.3133),0.3173 (0.2351),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9711 (0.0093),0.9878 (0.0087),0.9793 (0.0008),153.0
Father Boulos El-Mender,0.2410 (0.2779),0.1748 (0.1134),0.1832 (0.1776),20.0
Salah Tizani,0.9454 (0.0257),0.9977 (0.0016),0.9706 (0.0129),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.1429 (0.2020),0.0833 (0.1179),0.1053 (0.1489),13.0
Assad Darouich Zacharias,0.1287 (0.0923),0.3624 (0.2698),0.1869 (0.1322),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2615 (0.1678),0.6261 (0.4246),0.3635 (0.2437),31.0
Toufic El Bacha,0.7724 (0.0459),0.9667 (0.0471),0.8562 (0.0080),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.1961 (0.2773),0.2469 (0.3492),17.0
Youssef Fadlallah Salemeh,0.5655 (0.2750),0.7326 (0.1936),0.5511 (0.1399),60.0
Bishop Youssef Darian,0.4765 (0.3579),0.6101 (0.4369),0.5232 (0.3733),53.0
Youssef Hanna El-Sawda,0.6737 (0.2516),0.8745 (0.0893),0.7342 (0.1694),21.0
accuracy,0.6579 (0.0425),0.6579 (0.0425),0.6579 (0.0425),0.7076425394257986
macro avg,0.4808 (0.0917),0.5381 (0.0889),0.4690 (0.0949),2473.0
weighted avg,0.6651 (0.0420),0.6579 (0.0425),0.6326 (0.0456),2473.0
