Image Filename,Prefix,Writer Name (Arabic),Writer Name (English),
AR53_02_254,AR,أمين الريحاني,Ameen Rihani,
AR53_02_262,AR,أمين الريحاني,Ameen Rihani,
AR53_02_265,AR,أمين الريحاني,Ameen Rihani,
AR55_05_006,AR,أمين الريحاني,Ameen Rihani,
AR55_05_007,AR,أمين الريحاني,Ameen Rihani,
AR56_01_001,AR,,,
AR56_01_002,AR,,,
AR56_01_003_1,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_003_2,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_004,AR,,,
AR56_01_005,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_006,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_007,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_008,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_009,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_010,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_011,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_012,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_013,AR,نعوم مكرزل,Naoum Mokarzel,
AR56_01_014,AR,نعوم مكرزل,Naoum Mokarzel,
AR56_01_015,AR,نعوم مكرزل,Naoum Mokarzel,
AR56_01_016,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_017,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_018,AR,عيسى مخايل الخوري,Eissa alKhouri,
AR56_01_019,AR,عيسى مخايل الخوري,Eissa alKhouri,
AR56_01_020,AR,عيسى مخايل الخوري,Eissa alKhouri,
AR56_01_021,AR,عيسى مخايل الخوري,Eissa alKhouri,
AR56_01_022,AR,عيسى مخايل الخوري,Eissa alKhouri,
AR56_01_023,AR,عيسى مخايل الخوري,Eissa alKhouri,
AR56_01_024,AR,شبل نصيف دموس,Shibli N. Damus,
AR56_01_046,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_047,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_048,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_049,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_052,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_053,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_054,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_055,AR,جرجي دمتري سرسق,Girgi Dimitri Sursock,
AR56_01_058,AR,فليكس فارس,Felix Faris,
AR56_01_059,AR,فليكس فارس,Felix Faris,
AR56_01_060,AR,فليكس فارس,Felix Faris,
AR56_01_061,AR,فليكس فارس,Felix Faris,
AR56_01_062,AR,فليكس فارس,Felix Faris,
AR56_01_064,AR,فليكس فارس,Felix Faris,
AR56_01_065,AR,فليكس فارس,Felix Faris,
AR56_01_066,AR,فليكس فارس,Felix Faris,
AR56_01_067,AR,فليكس فارس,Felix Faris,
AR56_01_077_1,AR,فليكس فارس,Felix Faris,
AR56_01_077_2,AR,فليكس فارس,Felix Faris,
AR56_01_078_1,AR,فليكس فارس,Felix Faris,
AR56_01_078_2,AR,فليكس فارس,Felix Faris,
AR56_02_002_1,AR,فليكس فارس,Felix Faris,
AR56_02_002_2,AR,فليكس فارس,Felix Faris,
AR56_02_003_1,AR,فليكس فارس,Felix Faris,
AR56_02_003_2,AR,فليكس فارس,Felix Faris,
AR56_02_006,AR,محمد الحسين النجفي,Muhammad Hussain Najafi,
AR56_02_013_1,AR,ميّ زيادة,May Ziadeh,
AR56_02_013_2,AR,ميّ زيادة,May Ziadeh,
AR56_02_014_1,AR,ميّ زيادة,May Ziadeh,
AR56_02_014_2,AR,ميّ زيادة,May Ziadeh,
AR56_02_016,AR,فليكس فارس,Felix Faris,
AR56_02_017,AR,فليكس فارس,Felix Faris,
AR56_02_018,AR,فليكس فارس,Felix Faris,
AR56_03_002,AR,فيكتور شميل,Victor Shemil,
AR56_03_003,AR,احمد شاكر الكرمي,Ahmed Shakir alKarmi,
AR56_03_004,AR,فليكس فارس,Felix Faris,
AR56_03_005,AR,فليكس فارس,Felix Faris,
AR56_03_006,AR,فليكس فارس,Felix Faris,
AR56_03_007,AR,ايليا ابو ماضي,Elia Abu Madi,
AR56_03_008,AR,ايليا ابو ماضي,Elia Abu Madi,
AR56_03_012,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_013,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_017,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_018,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_019,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_023,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_024,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_025,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_030,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_031,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_032,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_033,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_034,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_035,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_036,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_037,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_039,AR,ميّ زيادة,May Ziadeh,
AR56_03_040,AR,ميّ زيادة,May Ziadeh,
AR56_03_041,AR,ميّ زيادة,May Ziadeh,
AR56_03_057,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_058,AR,محمد امين الحسيني,Mohammed Amin al-Husseini ,
AR56_03_059,AR,محمد امين الحسيني,Mohammed Amin al-Husseini ,
AR56_03_065,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_066,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_070,AR,أغناطيوس كراتشقوفسكي الروسي,Prof. Ign. Kratchkovsky,
AR56_03_071,AR,أغناطيوس كراتشقوفسكي الروسي,Prof. Ign. Kratchkovsky,
AR56_03_076,AR,عبد العزيز بن عبد الرحمن ال فيصل ال سعود,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,
AR56_03_080,AR,أغناطيوس كراتشقوفسكي الروسي,Prof. Ign. Kratchkovsky,
AR56_04_012,AR,أغناطيوس كراتشقوفسكي الروسي,Prof. Ign. Kratchkovsky,
AR56_04_017,AR,جريس القسوس,Jirjis alKsus,
AR56_04_018,AR,جريس القسوس,Jirjis alKsus,
AR56_04_029,AR,ابراهيم مجاهد الجزائري,Ibrahim Mejahid alJaza'eri,
AR56_04_030,AR,ابراهيم مجاهد الجزائري,Ibrahim Mejahid alJaza'eri,
AR56_04_031,AR,ابراهيم مجاهد الجزائري,Ibrahim Mejahid alJaza'eri,
AR56_04_033,AR,محمد الحسين النجفي,Muhammad Hussain Najafi,
AR56_04_034,AR,محمد امين الحسيني,Mohammed Amin al-Husseini ,
AR56_04_035,AR,داود مجاعص,Daoud Mujaés,
AR56_04_036,AR,داود مجاعص,Daoud Mujaés,
AR56_04_037,AR,داود مجاعص,Daoud Mujaés,
AR56_04_038,AR,داود مجاعص,Daoud Mujaés,
AR56_04_039,AR,أغناطيوس كراتشقوفسكي الروسي,Prof. Ign. Kratchkovsky,
AR56_04_047,AR,أغناطيوس كراتشقوفسكي الروسي,Prof. Ign. Kratchkovsky,
AR56_04_071,AR,فليكس فارس,Felix Faris,
AR56_04_082,AR,فليكس فارس,Felix Faris,
AR56_04_083,AR,فليكس فارس,Felix Faris,
AR56_04_084,AR,فليكس فارس,Felix Faris,
AR56_04_088,AR,ميّ زيادة,May Ziadeh,
AR56_04_089,AR,ميّ زيادة,May Ziadeh,
AR56_04_090,AR,ميّ زيادة,May Ziadeh,
AR56_04_091,AR,ميّ زيادة,May Ziadeh,
AR56_04_092,AR,ميّ زيادة,May Ziadeh,
AR67_002,AR,أمين الريحاني,Ameen Rihani,
AR67_003,AR,أمين الريحاني,Ameen Rihani,
AR67_004,AR,أمين الريحاني,Ameen Rihani,
AR69_003,AR,أمين الريحاني,Ameen Rihani,
AR69_004,AR,أمين الريحاني,Ameen Rihani,
AR69_005,AR,أمين الريحاني,Ameen Rihani,
AR69_006,AR,أمين الريحاني,Ameen Rihani,
AR69_007,AR,أمين الريحاني,Ameen Rihani,
Baddour_ArabicLetter_1,Baddour,,,
Baddour_ArabicLetter_2,Baddour,,,
Baddour_Letter-1,Baddour,,,
BEK1A_02r,BEK,بشارة الخوري,Bechara El Khoury,
BEK1A_27_01r,BEK,بشارة الخوري,Bechara El Khoury,
BEK1A_27_01r-,BEK,بشارة الخوري,Bechara El Khoury,
BEK1A_27_02r,BEK,بشارة الخوري,Bechara El Khoury,
BEK1A_27_02r-,BEK,بشارة الخوري,Bechara El Khoury,
BEK2A_05_02r,BEK,بشارة الخوري,Bechara El Khoury,
BEK2A_05_02v,BEK,,,
BEK2A_05_03r,BEK,,,
BEK2A_05_03v,BEK,,,
EAC_A_039_049r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_050r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_059r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_060r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_062r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_063r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_064r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_A_039_065r,EAC,إلياس أبو شبكة,Elias Abu Shabaki,
EAC_B_006r,EAC,حبيب ,Habib,
EAC_C_001r,EAC,ادهم الجندي,Adham Al Jundi,
EAC_C_002r,EAC,عبد الخالق فريد,Abd al-Khaliq Farid,
EAC_C_008r,EAC,عبد الخالق فريد,Abd al-Khaliq Farid,
EAC_D_047B,EAC,,,
EAC_D_047C,EAC,,,
EAC_D_047E,EAC,,,
EAC_D_047I,EAC,,,
EAC_D_047M,EAC,,,
EAC_D_051F,EAC,إيلي مارون خليل,Elie Maroun Khalil,
EAC_D_051G,EAC,إيلي مارون خليل,Elie Maroun Khalil,
EAC_D_051H,EAC,إيلي مارون خليل,Elie Maroun Khalil,
EAC_D_051I,EAC,إيلي مارون خليل,Elie Maroun Khalil,
EAK1A_033r,EAK,,,
EAK1A_040r,EAK,,,
EAK1A_046_01r,EAK,,,
EAK1A_050_01r,EAK,,,
EAK1A_050_01v,EAK,,,
EAK1A_051r,EAK,,,
EAK1A_052r,EAK,,,
EAK1A_080r,EAK,,,
EAK1A_142r,EAK,المطران؟,Maronite Bishop of Sidon,
EAK1A_142v,EAK,المطران؟,Maronite Bishop of Sidon,
EAK1A_162r,EAK,,,
EAK1A_172_01r,EAK,,,
EAK1A_178_01r,EAK,,,
EAK1A_195_01r,EAK,,,
EAK1A_195_01v,EAK,,,
EAK1A_195_02r,EAK,,,
EAK1A_195_02v,EAK,,,
EAK1A_681_01r,EAK,,,
EAK1A_681_01v,EAK,,,
ES1D_18_01,ES,إلياس سركيس,President Elias Sarkis,
ES1D_18_02,ES,إلياس سركيس,President Elias Sarkis,
ES1D_18_03,ES,إلياس سركيس,President Elias Sarkis,
ES1D_18_04,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_01,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_02,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_03,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_04,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_05,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_06,ES,إلياس سركيس,President Elias Sarkis,
ES1D_19_07,ES,إلياس سركيس,President Elias Sarkis,
ES4A_03_01,ES,إلياس سركيس,President Elias Sarkis,
ES4A_03_02,ES,إلياس سركيس,President Elias Sarkis,
ES4A_03_03,ES,إلياس سركيس,President Elias Sarkis,
ES4A_03_04,ES,إلياس سركيس,President Elias Sarkis,
ES4A_03_05,ES,إلياس سركيس,President Elias Sarkis,
ES4A_04r,ES,إلياس سركيس,President Elias Sarkis,
ES4A_04v,ES,إلياس سركيس,President Elias Sarkis,
FC2C_11_04,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_05,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_06,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_07,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_08,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_10,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_11,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_12,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_13,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_14,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_15,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_16,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_17,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_18,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_19,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_20,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_21,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_22,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_23,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_24,FC,فؤاد شهاب,President Fouad Chehab,
FC2C_11_25,FC,فؤاد شهاب,President Fouad Chehab,
HM1B_04_04r,HM,الشاعر حنا موسى,Poet Hanna Moussa ,
HM1B_04_06r,HM,الشاعر حنا موسى,Poet Hanna Moussa ,
HM1B_04_06v,HM,الشاعر حنا موسى,Poet Hanna Moussa ,
JoM_Kobayat_0078,JoM,,,
JoM_Kobayat_0087,JoM,الخورى بطرس حسن,Father Boutros Hassan,
JoM_Kobayat_0091,JoM,,,
JoM_Kobayat_0092,JoM,,,
JoM_Kobayat_0093,JoM,,,
JoM_Kobayat_0112,JoM,,,
JoM_Kobayat_0114,JoM,,,
JoM_Kobayat_0118,JoM,,,
JoM_Kobayat_0122,JoM,,,
JoM_Kobayat_0162,JoM,,,
JoM_Kobayat_0211,JoM,ميخايل ضاهر,Mikhail Dhaher,
JoM_Kobayat_0248,JoM,,,
JoM_Kobayat_0297,JoM,,,
JoM_Kobayat_0303,JoM,الخوري مخايل الزريبي,Father Mkhayel Zreiby,
JoM_Kobayat_0304,JoM,,,
JoM_Kobayat_0311,JoM,عموم أهالي ربلة,All the people of Rablah,
JoM_Kobayat_0319,JoM,,,
JoM_Kobayat_0320,JoM,الخوري بطرس الشدياق,Father Boutros Chidiac,
JoM_Kobayat_0324,JoM,,,
JoM_Kobayat_0399,JoM,,,
JoM_Kobayat_0406,JoM,,,
JoM_Kobayat_0442,JoM,الخوري يوسف,Father Yousef,
JoM_Kobayat_0445,JoM,اولاد موارنة قضاء عكار,Maronite children of Akkar district,
JoM_Kobayat_0546,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0547,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0548,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0565,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0566,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0567,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0573,JoM,,,
JoM_Kobayat_0579,JoM,,,
JoM_Kobayat_0589,JoM,الخوري مخايل الزريبي,Father Mkhayel Zreiby,
JoM_Kobayat_0590,JoM,الخوري مخايل الزريبي,Father Mkhayel Zreiby,
JoM_Kobayat_0592,JoM,الخوري مخايل الزريبي,Father Mkhayel Zreiby,
JoM_Kobayat_0593,JoM,الخوري مخايل الزريبي,Father Mkhayel Zreiby,
JoM_Kobayat_0594,JoM,الخوري مخايل الزريبي,Father Mkhayel Zreiby,
JoM_Kobayat_0624,JoM,,,
JoM_Kobayat_0625,JoM,,,
JoM_Kobayat_0626,JoM,,,
JoM_Kobayat_0627,JoM,,,
JoM_Kobayat_0628,JoM,,,
JoM_Kobayat_0629,JoM,,,
JoM_Kobayat_0632,JoM,,,
JoM_Kobayat_0633,JoM,,,
JoM_Kobayat_0638,JoM,,,
JoM_Kobayat_0641,JoM,إلياس آصاف,Elias Asaf,
JoM_Kobayat_0642,JoM,إلياس آصاف,Elias Asaf,
JoM_Kobayat_0661,JoM,,,
JoM_Kobayat_0662,JoM,,,
JoM_Kobayat_0663,JoM,,,
JoM_Kobayat_0664,JoM,,,
JoM_Kobayat_0665,JoM,,,
JoM_Kobayat_0673,JoM,,,
JoM_Kobayat_0674,JoM,,,
JoM_Kobayat_0681,JoM,,,
JoM_Kobayat_0682,JoM,,,
JoM_Kobayat_0690,JoM,,,
JoM_Kobayat_0694,JoM,الخوري يوحنا حبيب البيسري,Father Youhanna Habib Baysari,
JoM_Kobayat_0721,JoM,,,
JoM_Kobayat_0762,JoM,,,
JoM_Kobayat_0763,JoM,,,
JoM_Kobayat_0787,JoM,,,
JoM_Kobayat_0826,JoM,,,
JoM_Kobayat_0997,JoM,محول حروح,Muhawwel Harouh,
JoM_Kobayat_0998,JoM,الخوري مخائل حنا,Father Mikhael Hanna,
JoM_Kobayat_1009,JoM,وردى الخوري,Warda El Khoury,
JoM_Kobayat_1013,JoM,الخوري مخائل حنا,Father Mikhael Hanna,
JoM_Kobayat_1014,JoM,الخوري مخائل حنا,Father Mikhael Hanna,
JoM_Kobayat_1015,JoM,الخوري مخائل حنا,Father Mikhael Hanna,
JPK2B_096_03,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_096_04,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_096_05,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_42_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_42_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_45_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_45_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_53_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_53_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_56_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_56_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_57_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_57_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_65,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_69_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_69_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_78_01,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_78_02,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_78_03,JPK,جان كميد,Jean Philipp Kmeid,
JPK2B_78_04,JPK,جان كميد,Jean Philipp Kmeid,
kc0061_01_01_19121203_001a,kc0061,جرجي نقولا خطار الشويري,Jerji Nicola Khattar al-Chuayri,
kc0061_01_01_19121203_001b,kc0061,جرجي نقولا خطار الشويري,Jerji Nicola Khattar al-Chuayri,
kc0061_01_02_19151008_001a,kc0061,عبد الحاج,Abd al-Hajj,
kc0061_01_02_19151008_001b,kc0061,عبد الحاج,Abd al-Hajj,
kc0061_01_03_19201107_001_1,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201107_001_2,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201109_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201109_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201109_003,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201109_004,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201111_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201111_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201111_003,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201113_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201113_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201113_003,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201119_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201119_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201119_003,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201127_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_03_19201200_001a,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210106_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210106_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210106_003,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210106_004,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210128_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210209_001a,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210209_001b,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210223_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210223_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210223_003,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210223_004,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210316_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210316_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210316_003,kc0061,ميشال صيقلي,Michel Saykali,
