Image Filename,Prefix,Writer Name (English)
AR56_01_008,AR,Shibli N. Damus
AR56_01_009,AR,Shibli N. Damus
AR56_01_010,AR,Shibli N. Damus
AR56_01_011,AR,Shibli N. Damus
AR56_01_012,AR,Shibli N. Damus
AR56_01_013,AR,Naoum Mokarzel
AR56_01_014,AR,Naoum Mokarzel
AR56_01_015,AR,Naoum Mokarzel
AR56_01_016,AR,Shibli N. Damus
AR56_01_017,AR,Shibli N. Damus
AR56_01_018,AR,Eissa alKhouri
AR56_01_019,AR,Eissa alKhouri
AR56_01_020,AR,Eissa alKhouri
AR56_01_021,AR,Eissa alKhouri
AR56_01_022,AR,Eissa alKhouri
AR56_01_023,AR,Eissa alKhouri
AR56_01_024,AR,Shibli N. Damus
AR56_01_046,AR,Girgi Dimitri Sursock
AR56_01_047,AR,Girgi Dimitri Sursock
AR56_01_048,AR,Girgi Dimitri Sursock
AR56_01_049,AR,Girgi Dimitri Sursock
AR56_01_052,AR,Girgi Dimitri Sursock
AR56_01_053,AR,Girgi Dimitri Sursock
AR56_01_054,AR,Girgi Dimitri Sursock
AR56_01_055,AR,Girgi Dimitri Sursock
AR56_01_058,AR,Felix Faris
AR56_01_059,AR,Felix Faris
AR56_01_060,AR,Felix Faris
AR56_01_061,AR,Felix Faris
AR56_01_062,AR,Felix Faris
AR56_01_064,AR,Felix Faris
AR56_01_065,AR,Felix Faris
AR56_01_066,AR,Felix Faris
AR56_01_067,AR,Felix Faris
AR56_01_077_1,AR,Felix Faris
AR56_01_077_2,AR,Felix Faris
AR56_01_078_1,AR,Felix Faris
AR56_01_078_2,AR,Felix Faris
AR56_02_002_1,AR,Felix Faris
AR56_02_002_2,AR,Felix Faris
AR56_02_003_1,AR,Felix Faris
AR56_02_003_2,AR,Felix Faris
AR56_02_006,AR,Muhammad Hussain Najafi
AR56_02_013_1,AR,May Ziadeh
AR56_02_013_2,AR,May Ziadeh
AR56_02_014_1,AR,May Ziadeh
AR56_02_014_2,AR,May Ziadeh
AR56_02_016,AR,Felix Faris
AR56_02_017,AR,Felix Faris
AR56_02_018,AR,Felix Faris
AR56_03_002,AR,Victor Shemil
AR56_03_003,AR,Ahmed Shakir alKarmi
AR56_03_004,AR,Felix Faris
AR56_03_005,AR,Felix Faris
AR56_03_006,AR,Felix Faris
AR56_03_007,AR,Elia Abu Madi
AR56_03_008,AR,Elia Abu Madi
AR56_03_012,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_013,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_017,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_018,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_019,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_023,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_024,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_025,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_030,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_031,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_032,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_033,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_034,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_035,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_036,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_037,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_039,AR,May Ziadeh
AR56_03_040,AR,May Ziadeh
AR56_03_041,AR,May Ziadeh
AR56_03_057,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_058,AR,Mohammed Amin al-Husseini 
AR56_03_059,AR,Mohammed Amin al-Husseini 
AR56_03_065,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_066,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_070,AR,Prof. Ign. Kratchkovsky
AR56_03_071,AR,Prof. Ign. Kratchkovsky
AR56_03_076,AR,Abdulaziz bin Abdul Rahman Al Faisal Al Saud
AR56_03_080,AR,Prof. Ign. Kratchkovsky
AR56_04_012,AR,Prof. Ign. Kratchkovsky
AR56_04_017,AR,Jirjis alKsus
AR56_04_018,AR,Jirjis alKsus
AR56_04_029,AR,Ibrahim Mejahid Al-Jaza'eri
AR56_04_030,AR,Ibrahim Mejahid Al-Jaza'eri
AR56_04_031,AR,Ibrahim Mejahid Al-Jaza'eri
AR56_04_033,AR,Muhammad Hussain Najafi
AR56_04_034,AR,Mohammed Amin al-Husseini 
AR56_04_035,AR,Daoud Mujaes
AR56_04_036,AR,Daoud Mujaes
AR56_04_037,AR,Daoud Mujaes
AR56_04_038,AR,Daoud Mujaes
AR56_04_039,AR,Prof. Ign. Kratchkovsky
AR56_04_047,AR,Prof. Ign. Kratchkovsky
AR56_04_071,AR,Felix Faris
AR56_04_082,AR,Felix Faris
AR56_04_083,AR,Felix Faris
AR56_04_084,AR,Felix Faris
AR56_04_088,AR,May Ziadeh
AR56_04_089,AR,May Ziadeh
AR56_04_090,AR,May Ziadeh
AR56_04_091,AR,May Ziadeh
AR56_04_092,AR,May Ziadeh
AR67_002,AR,Ameen Rihani
AR67_003,AR,Ameen Rihani
AR67_004,AR,Ameen Rihani
AR69_003,AR,Ameen Rihani
AR69_004,AR,Ameen Rihani
AR69_005,AR,Ameen Rihani
AR69_006,AR,Ameen Rihani
AR69_007,AR,Ameen Rihani
BEK1A_02r,BEK,Bechara El Khoury
BEK1A_14_01r,BEK,Tawfiq
BEK1A_27_01r,BEK,Bechara El Khoury
BEK1A_27_01r-,BEK,Bechara El Khoury
BEK1A_27_02r,BEK,Bechara El Khoury
BEK1A_27_02r-,BEK,Bechara El Khoury
BEK2A_05_02r,BEK,Bechara El Khoury
BEK2A_11_01r,BEK,Youssef Ibrahim Yazbek
BEK2A_11_02r,BEK,Youssef Ibrahim Yazbek
BEK2A_11_03r,BEK,Youssef Ibrahim Yazbek
BEK2A_17_01r,BEK,Margaret El Haddad
BEK2A_17_02r,BEK,Margaret El Haddad
EAC_A_039_049r,EAC,Elias Abu Shabaki
EAC_A_039_050r,EAC,Elias Abu Shabaki
EAC_A_039_059r,EAC,Elias Abu Shabaki
EAC_A_039_060r,EAC,Elias Abu Shabaki
EAC_A_039_062r,EAC,Elias Abu Shabaki
EAC_A_039_063r,EAC,Elias Abu Shabaki
EAC_A_039_064r,EAC,Elias Abu Shabaki
EAC_A_039_065r,EAC,Elias Abu Shabaki
EAC_B_006r,EAC,Habib
EAC_C_001r,EAC,Adham Al Jundi
EAC_C_002r,EAC,Abd al-Khaliq Farid
EAC_C_008r,EAC,Abd al-Khaliq Farid
EAC_D_051F,EAC,Elie Maroun Khalil
EAC_D_051G,EAC,Elie Maroun Khalil
EAC_D_051H,EAC,Elie Maroun Khalil
EAC_D_051I,EAC,Elie Maroun Khalil
EAK1A_003r,EAK,Habib Abi Rached
EAK1A_035r,EAK,Aziz Khoury
EAK1A_038r,EAK,Aziz Khoury
EAK1A_038v,EAK,Aziz Khoury
EAK1A_039r,EAK,Mary Khoury
EAK1A_049r,EAK,Ghnatyos Mbarak
EAK1A_049v,EAK,Ghnatyos Mbarak
EAK1A_051v,EAK,Ghnatyos Mbarak
EAK1A_066r,EAK,Abdallah Sfeir
EAK1A_067r,EAK,Youssef Nakad
EAK1A_081r,EAK,Tanos Youssef Harfouche
EAK1A_087r,EAK,JerJi Ass'ad Nader
EAK1A_088r,EAK,Habib Abdallah al-Khoury
EAK1A_089r,EAK,Serhal Maroun 'Tiyyeh
EAK1A_090_01r,EAK,Hanna Estphan
EAK1A_090_02r,EAK,Hanna Estphan
EAK1A_095r,EAK,Slayman al-Farkh
EAK1A_099r,EAK,Habib Boulos Nasr
EAK1A_137r,EAK,Ghnatyos Mbarak
EAK1A_137v,EAK,Ghnatyos Mbarak
EAK1A_138_01r,EAK,Botros Feghaly
EAK1A_138_01v,EAK,Botros Feghaly
EAK1A_138_02r,EAK,Botros Feghaly
EAK1A_140_01r,EAK,Toufiq Wehbeh
EAK1A_140_02r,EAK,Toufiq Wehbeh
EAK1A_140_03r,EAK,Toufiq Wehbeh
EAK1A_140_04r,EAK,Toufiq Wehbeh
EAK1A_140_05r,EAK,Toufiq Wehbeh
EAK1A_140_06r,EAK,Toufiq Wehbeh
EAK1A_140_07r,EAK,Toufiq Wehbeh
EAK1A_140_08r,EAK,Toufiq Wehbeh
EAK1A_142r,EAK,Maronite Bishop of Sidon
EAK1A_142v,EAK,Maronite Bishop of Sidon
EAK1A_144_02r,EAK,Halim Khoury Saadeh
EAK1A_144_02v,EAK,Halim Khoury Saadeh
EAK1A_145r,EAK,Jebrayel Sa'd al 'Alam
EAK1A_146r,EAK,Najib Ayoub
EAK1A_146v,EAK,Najib Ayoub
EAK1A_147r,EAK,Youhanna Sfeir
EAK1A_147v,EAK,Youhanna Sfeir
EAK1A_149r,EAK,Bishop Mkhayel Akhrass
EAK1A_150_01r,EAK,George Saad
EAK1A_150_01v,EAK,George Saad
EAK1A_150_02r,EAK,George Saad
EAK1A_151r,EAK,Bishop Mkhayel Akhrass
EAK1A_154_01r,EAK,George Saad
EAK1A_154_01v,EAK,George Saad
EAK1A_154_02r,EAK,George Saad
EAK1A_154_02v,EAK,George Saad
EAK1A_157r,EAK,Bishop Youseef El Khazen
EAK1A_158r,EAK,Father Elias Najm
EAK1A_158v,EAK,Father Elias Najm
EAK1A_160_01r,EAK,Bishop Mkhayel Akhrass
EAK1A_161r,EAK,Bishop Mkhayel Akhrass
EAK1A_165r,EAK,Bishop Mkhayel Akhrass
EAK1A_169r,EAK,Bishop Aghnathios Mbarak
EAK1A_169v,EAK,Bishop Aghnathios Mbarak
EAK1A_170r,EAK,Bishop Aghnathios Mbarak
EAK1A_170v,EAK,Bishop Aghnathios Mbarak
EAK1A_171_01r,EAK,Bishop Aghnathios Mbarak
EAK1A_171_02v,EAK,Bishop Aghnathios Mbarak
EAK1A_179r,EAK,Bishop Aghnathios Mbarak
EAK1A_180r,EAK,Bishop Aghnathios Mbarak
EAK1A_180v,EAK,Bishop Aghnathios Mbarak
EAK1A_188r,EAK,Dr. Abdo Harb
EAK1A_192r,EAK,Fathallah Khoury
EAK1A_192v,EAK,Fathallah Khoury
EAK1A_193_01r,EAK,Fathallah Khoury
EAK1A_193_02v,EAK,Fathallah Khoury
EAK1A_287_03v,EAK,Antonios Elias
EAK1A_288r,EAK,Francis Hcheme
EAK1A_289r,EAK,Antoine Richa
EAK1A_292r,EAK,Botros El Kfouny
EAK1A_322r,EAK,Salim Maalouf
EAK1A_325r,EAK,Father Yaacoub Awad
EAK1A_326r,EAK,Wadih Salim Karam
EAK1A_327r,EAK,Father Youhanna El Khoury
EAK1A_327v,EAK,Father Youhanna El Khoury
EAK1A_328r,EAK,Georges Jarjoura
EAK1A_333r,EAK,Father Jerjes El Alam
EAK1A_364r,EAK,Father Botros Dib
ES1D_18_01,ES,Elias Sarkis
ES1D_18_02,ES,Elias Sarkis
ES1D_18_03,ES,Elias Sarkis
ES1D_18_04,ES,Elias Sarkis
ES1D_19_01,ES,Elias Sarkis
ES1D_19_02,ES,Elias Sarkis
ES1D_19_03,ES,Elias Sarkis
ES1D_19_04,ES,Elias Sarkis
ES1D_19_05,ES,Elias Sarkis
ES1D_19_06,ES,Elias Sarkis
ES1D_19_07,ES,Elias Sarkis
ES4A_03_01,ES,Elias Sarkis
ES4A_03_02,ES,Elias Sarkis
ES4A_03_03,ES,Elias Sarkis
ES4A_03_04,ES,Elias Sarkis
ES4A_03_05,ES,Elias Sarkis
ES4A_04r,ES,Elias Sarkis
ES4A_04v,ES,Elias Sarkis
FC2C_11_04,FC,Fouad Chehab
FC2C_11_05,FC,Fouad Chehab
FC2C_11_06,FC,Fouad Chehab
FC2C_11_07,FC,Fouad Chehab
FC2C_11_08,FC,Fouad Chehab
FC2C_11_10,FC,Fouad Chehab
FC2C_11_11,FC,Fouad Chehab
FC2C_11_12,FC,Fouad Chehab
FC2C_11_13,FC,Fouad Chehab
FC2C_11_14,FC,Fouad Chehab
FC2C_11_15,FC,Fouad Chehab
FC2C_11_16,FC,Fouad Chehab
FC2C_11_17,FC,Fouad Chehab
FC2C_11_18,FC,Fouad Chehab
FC2C_11_19,FC,Fouad Chehab
FC2C_11_20,FC,Fouad Chehab
FC2C_11_21,FC,Fouad Chehab
FC2C_11_22,FC,Fouad Chehab
FC2C_11_23,FC,Fouad Chehab
FC2C_11_24,FC,Fouad Chehab
FC2C_11_25,FC,Fouad Chehab
HM1B_04_04r,HM,Hanna Moussa
HM1B_04_06r,HM,Hanna Moussa
HM1B_04_06v,HM,Hanna Moussa
HM1B_04_07r,HM,Hanna Moussa
HM1B_04_07v,HM,Hanna Moussa
HM1B_04_08r,HM,Hanna Moussa
HM1B_04_08v,HM,Hanna Moussa
HM1B_04_09r,HM,Hanna Moussa
HM1B_04_09v,HM,Hanna Moussa
HM1B_04_10r,HM,Hanna Moussa
HM1B_04_10v,HM,Hanna Moussa
HM1B_04_11r,HM,Hanna Moussa
HM1B_04_11v,HM,Hanna Moussa
HM1B_04_12r,HM,Hanna Moussa
HM1B_04_12v,HM,Hanna Moussa
HM1B_04_13r,HM,Hanna Moussa
HM1B_04_13v,HM,Hanna Moussa
HM1B_04_14r,HM,Hanna Moussa
HM1B_04_14v,HM,Hanna Moussa
HM1B_04_15r,HM,Hanna Moussa
HM1B_10_02v,HM,Hanna Moussa
HM1B_10_03r,HM,Hanna Moussa
HM1B_10_03v,HM,Hanna Moussa
HM1B_10_04r,HM,Hanna Moussa
HM1B_10_04v,HM,Hanna Moussa
HM1B_10_05r,HM,Hanna Moussa
HM1B_10_05v,HM,Hanna Moussa
HM1B_10_06r,HM,Hanna Moussa
HM1B_10_06v,HM,Hanna Moussa
HM1B_10_07r,HM,Hanna Moussa
HM1B_10_07v,HM,Hanna Moussa
HM1B_10_19v,HM,Hanna Moussa
HM1B_10_20r,HM,Hanna Moussa
HM1B_10_20v,HM,Hanna Moussa
HM1B_10_22r,HM,Hanna Moussa
HM1B_10_23r,HM,Hanna Moussa
HM1B_10_23v,HM,Hanna Moussa
HM1B_10_24v,HM,Hanna Moussa
HM1B_10_25r,HM,Hanna Moussa
HM1B_10_26r,HM,Hanna Moussa
HM1B_10_29v,HM,Hanna Moussa
JEH2A1_01r,JEH,Zaghloul ad-Damour
JEH2A2_17,JEH,Habib Massoud
JEH2A2_18,JEH,Habib Massoud
JEH2A2_19,JEH,Habib Massoud
JEH2A2_20_01,JEH,Habib Massoud
JEH2A2_20_02,JEH,Habib Massoud
JEH2E1_19r,JEH,Zaghloul
JEH2E1_20_04r,JEH,Zaghloul
JEH2E1_21_01r,JEH,Zaghloul
JEH2E1_21_02r,JEH,Zaghloul
JEH2E1_22r,JEH,Zaghloul
JEH2E1_23r,JEH,Zaghloul
JEH2E1_24r,JEH,Zaghloul
JEH2E1_26r,JEH,Zaghloul
JEH2E1_27r,JEH,Zaghloul
JEH2E1_30_08r,JEH,Zaghloul
JEH2E1_30_10r,JEH,Zaghloul
JEH2E1_30_13r,JEH,Zaghloul
JEH2E1_30_15r,JEH,Zaghloul
JEH2E1_41_01r,JEH,Zaghloul
JEH2E1_59_06r,JEH,Zaghloul
JEH2E1_59_07r,JEH,Zaghloul
JEH2E1_59_28r,JEH,Zaghloul
JEH2E1_61_08r,JEH,Zaghloul
JEH2E1_90_03r,JEH,Zaghloul
JEH2F1_30_01r,JEH,Zaghloul
JEH2F1_30_01v,JEH,Zaghloul
JEH2F1_30_02r,JEH,Zaghloul
JEH2F1_30_02v,JEH,Zaghloul
JEH2F1_30_03r,JEH,Zaghloul
JEH2F1_30_03v,JEH,Zaghloul
JEH2F1_30_04r,JEH,Zaghloul
JEH2F1_30_04v,JEH,Zaghloul
JEH2F1_30_05,JEH,Zaghloul
JoM_Kobayat_0020,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0021,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0073,JoM,Mkhayel Daher
JoM_Kobayat_0074,JoM,Father Youssef Hanna
JoM_Kobayat_0075,JoM,Father Youssef Iskandar
JoM_Kobayat_0082,JoM,Adib Shiha
JoM_Kobayat_0084,JoM,Father Youssef Hanna & Father Botros Hasan
JoM_Kobayat_0085,JoM,Father Youssef Hanna & Father Botros Hasan
JoM_Kobayat_0086,JoM,Father Botros Hasan
JoM_Kobayat_0087,JoM,Father Botros Hasan
JoM_Kobayat_0107,JoM,Youssef Ibrahim
JoM_Kobayat_0108,JoM,Youssef Ibrahim
JoM_Kobayat_0109,JoM,Father Youssef Hajj
JoM_Kobayat_0111,JoM,Father Botros Hasan
JoM_Kobayat_0117,JoM,Father Youssef Hanna
JoM_Kobayat_0121,JoM,Father Botros Hasan
JoM_Kobayat_0123,JoM,Abdallah Daher
JoM_Kobayat_0125,JoM,Father Botros Hasan
JoM_Kobayat_0127,JoM,Mkhayel & Ibrahim Daher
JoM_Kobayat_0128,JoM,Mkhayel & Ibrahim Daher
JoM_Kobayat_0131,JoM,Mkhayel Daher
JoM_Kobayat_0134,JoM,Tannous Semaan
JoM_Kobayat_0141,JoM,Father Youssef Hajj
JoM_Kobayat_0143,JoM,Father Youssef Hanna & Father Botros Hasan
JoM_Kobayat_0154,JoM,Father Botros Hasan
JoM_Kobayat_0211,JoM,Mkhayel Daher
JoM_Kobayat_0303,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0311,JoM,People of Rablah
JoM_Kobayat_0320,JoM,Father Boutros Chidiac
JoM_Kobayat_0325,JoM,Bishop Antoun Jbeir
JoM_Kobayat_0345,JoM,Father Youssef Hajj
JoM_Kobayat_0349,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0350,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0351,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0442,JoM,Father Yousef
JoM_Kobayat_0445,JoM,Maronite children of Akkar district
JoM_Kobayat_0546,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0547,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0548,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0565,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0566,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0567,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0589,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0590,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0592,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0593,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0594,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0641,JoM,Elias Asaf
JoM_Kobayat_0642,JoM,Elias Asaf
JoM_Kobayat_0694,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0997,JoM,Muhawwel Harouh
JoM_Kobayat_0998,JoM,Father Mikhael Hanna
JoM_Kobayat_1009,JoM,Warda El Khoury
JoM_Kobayat_1013,JoM,Father Mikhael Hanna
JoM_Kobayat_1014,JoM,Father Mikhael Hanna
JoM_Kobayat_1015,JoM,Father Mikhael Hanna
JPK2B_096_03,JPK,Jean Philipp Kmeid
JPK2B_096_04,JPK,Jean Philipp Kmeid
JPK2B_096_05,JPK,Jean Philipp Kmeid
JPK2B_40,JPK,Jean Philipp Kmeid
JPK2B_41,JPK,Jean Philipp Kmeid
JPK2B_42_01,JPK,Jean Philipp Kmeid
JPK2B_42_02,JPK,Jean Philipp Kmeid
JPK2B_42_03,JPK,Jean Philipp Kmeid
JPK2B_42_04,JPK,Jean Philipp Kmeid
JPK2B_45_01,JPK,Jean Philipp Kmeid
JPK2B_45_02,JPK,Jean Philipp Kmeid
JPK2B_53_01,JPK,Jean Philipp Kmeid
JPK2B_53_02,JPK,Jean Philipp Kmeid
JPK2B_56_01,JPK,Jean Philipp Kmeid
JPK2B_56_02,JPK,Jean Philipp Kmeid
JPK2B_57_01,JPK,Jean Philipp Kmeid
JPK2B_57_02,JPK,Jean Philipp Kmeid
JPK2B_65,JPK,Jean Philipp Kmeid
JPK2B_69_01,JPK,Jean Philipp Kmeid
JPK2B_69_02,JPK,Jean Philipp Kmeid
JPK2B_78_01,JPK,Jean Philipp Kmeid
JPK2B_78_02,JPK,Jean Philipp Kmeid
JPK2B_78_03,JPK,Jean Philipp Kmeid
JPK2B_78_04,JPK,Jean Philipp Kmeid
kc0061_01_01_19121203_001a,kc0061,Jerji Nicola Khattar al-Chuayri
kc0061_01_01_19121203_001b,kc0061,Jerji Nicola Khattar al-Chuayri
kc0061_01_02_19151008_001a,kc0061,Abd al-Hajj
kc0061_01_02_19151008_001b,kc0061,Abd al-Hajj
kc0061_01_03_19201107_001_1,kc0061,Michel Saykali
kc0061_01_03_19201107_001_2,kc0061,Michel Saykali
kc0061_01_03_19201109_001,kc0061,Michel Saykali
kc0061_01_03_19201109_002,kc0061,Michel Saykali
kc0061_01_03_19201109_003,kc0061,Michel Saykali
kc0061_01_03_19201109_004,kc0061,Michel Saykali
kc0061_01_03_19201111_001,kc0061,Michel Saykali
kc0061_01_03_19201111_002,kc0061,Michel Saykali
kc0061_01_03_19201111_003,kc0061,Michel Saykali
kc0061_01_03_19201113_001,kc0061,Michel Saykali
kc0061_01_03_19201113_002,kc0061,Michel Saykali
kc0061_01_03_19201113_003,kc0061,Michel Saykali
kc0061_01_03_19201119_001,kc0061,Michel Saykali
kc0061_01_03_19201119_002,kc0061,Michel Saykali
kc0061_01_03_19201119_003,kc0061,Michel Saykali
kc0061_01_03_19201127_001,kc0061,Michel Saykali
kc0061_01_03_19201200_001a,kc0061,Michel Saykali
kc0061_01_04_19210106_001,kc0061,Michel Saykali
kc0061_01_04_19210106_002,kc0061,Michel Saykali
kc0061_01_04_19210106_003,kc0061,Michel Saykali
kc0061_01_04_19210106_004,kc0061,Michel Saykali
kc0061_01_04_19210128_001,kc0061,Michel Saykali
kc0061_01_04_19210209_001a,kc0061,Michel Saykali
kc0061_01_04_19210209_001b,kc0061,Michel Saykali
kc0061_01_04_19210223_001,kc0061,Michel Saykali
kc0061_01_04_19210223_002,kc0061,Michel Saykali
kc0061_01_04_19210223_003,kc0061,Michel Saykali
kc0061_01_04_19210223_004,kc0061,Michel Saykali
kc0061_01_04_19210316_001,kc0061,Michel Saykali
kc0061_01_04_19210316_002,kc0061,Michel Saykali
kc0061_01_04_19210316_003,kc0061,Michel Saykali
kc0061_01_04_19210316_004,kc0061,Michel Saykali
kc0061_01_04_19210402_001a,kc0061,Michel Saykali
kc0061_01_04_19210402_001b,kc0061,Michel Saykali
kc0061_01_04_19210406_001,kc0061,Michel Saykali
kc0061_01_04_19210412_001a,kc0061,Michel Saykali
kc0061_01_04_19210412_001b,kc0061,Michel Saykali
kc0061_01_04_19210417_001,kc0061,Michel Saykali
kc0061_01_04_19210419_001a,kc0061,Michel Saykali
kc0061_01_04_19210419_001b,kc0061,Michel Saykali
kc0061_01_04_19210504_001b,kc0061,Michel Saykali
kc0061_01_04_19210512_001,kc0061,Michel Saykali
kc0061_01_04_19210512_002,kc0061,Michel Saykali
kc0061_01_04_19210513_001,kc0061,Michel Saykali
kc0061_01_04_19210526_001,kc0061,Michel Saykali
kc0066_01_01_1873diary_005,kc0066,Hanna Ghayth (Juan Gait)
kc0066_01_01_1873diary_006,kc0066,Hanna Ghayth (Juan Gait)
kc0066_01_01_1873diary_007,kc0066,Hanna Ghayth (Juan Gait)
kc0066_01_01_1873diary_008,kc0066,Hanna Ghayth (Juan Gait)
kc0066_01_01_1873diary_009,kc0066,Hanna Ghayth (Juan Gait)
kc0066_01_01_1873diary_010,kc0066,Hanna Ghayth (Juan Gait)
