Image Filename,Prefix,Writer Name (English)
EAK1A_140_05r,EAK,Toufiq Wehbeh
EAK1A_140_06r,EAK,Toufiq Wehbeh
EAK1A_140_07r,EAK,Toufiq Wehbeh
EAK1A_140_08r,EAK,Toufiq Wehbeh
EAK1A_144_02r,EAK,Halim Khoury Saadeh
EAK1A_144_02v,EAK,Halim Khoury Saadeh
EAK1A_145r,EAK,Jebrayel Sa'd al 'Alam
EAK1A_146r,EAK,Najib Ayoub
EAK1A_146v,EAK,Najib Ayoub
EAK1A_147r,EAK,Youhanna Sfeir
EAK1A_147v,EAK,Youhanna Sfeir
EAK1A_149r,EAK,Mkhayel Akhrass
EAK1A_150_01r,EAK,George Saad
EAK1A_150_01v,EAK,George Saad
EAK1A_150_02r,EAK,George Saad
EAK1A_151r,EAK,Bishop Mkhayel Akhrass
EAK1A_154_01r,EAK,George Saad
EAK1A_154_01v,EAK,George Saad
EAK1A_154_02r,EAK,George Saad
EAK1A_154_02v,EAK,George Saad
EAK1A_157r,EAK,Bishop Youseef El Khazen
EAK1A_158r,EAK,Father Elias Najm
EAK1A_158v,EAK,Father Elias Najm
EAK1A_160_01r,EAK,Bishop Mkhayel Akhrass
EAK1A_161r,EAK,Bishop Mkhayel Akhrass
EAK1A_165r,EAK,Bishop Mkhayel Akhrass
EAK1A_169r,EAK,Bishop Aghnathios Mbarak
EAK1A_169v,EAK,Bishop Aghnathios Mbarak
EAK1A_170r,EAK,Bishop Aghnathios Mbarak
EAK1A_170v,EAK,Bishop Aghnathios Mbarak
EAK1A_171_01r,EAK,Bishop Aghnathios Mbarak
EAK1A_171_02v,EAK,Bishop Aghnathios Mbarak
EAK1A_179r,EAK,Bishop Aghnathios Mbarak
EAK1A_180r,EAK,Bishop Aghnathios Mbarak
EAK1A_180v,EAK,Bishop Aghnathios Mbarak
EAK1A_188r,EAK,Dr. Abdo Harb
EAK1A_192r,EAK,Fathallah Khoury
EAK1A_192v,EAK,Fathallah Khoury
EAK1A_193_01r,EAK,Fathallah Khoury
EAK1A_193_02v,EAK,Fathallah Khoury
EAK1A_287_03v,EAK,Antonios Elias
EAK1A_288r,EAK,Francis Hcheme
EAK1A_289r,EAK,Antoine Richa
EAK1A_292r,EAK,Botros El Kfouny
EAK1A_322r,EAK,Salim Maalouf
EAK1A_325r,EAK,Father Yaacoub Awad
EAK1A_326r,EAK,Wadih Salim Karam
EAK1A_327r,EAK,Father Youhanna El Khoury
EAK1A_327v,EAK,Father Youhanna El Khoury
EAK1A_328r,EAK,Georges Jarjoura
EAK1A_333r,EAK,Father Jerjes El Alam
EAK1A_364r,EAK,Father Botros Dib
HM1B_04_07r,HM,Hanna Moussa
HM1B_04_07v,HM,Hanna Moussa
HM1B_04_08r,HM,Hanna Moussa
HM1B_04_08v,HM,Hanna Moussa
HM1B_04_09r,HM,Hanna Moussa
HM1B_04_09v,HM,Hanna Moussa
HM1B_04_10r,HM,Hanna Moussa
HM1B_04_10v,HM,Hanna Moussa
HM1B_04_11r,HM,Hanna Moussa
HM1B_04_11v,HM,Hanna Moussa
HM1B_04_12r,HM,Hanna Moussa
HM1B_04_12v,HM,Hanna Moussa
HM1B_04_13r,HM,Hanna Moussa
HM1B_04_13v,HM,Hanna Moussa
HM1B_04_14r,HM,Hanna Moussa
HM1B_04_14v,HM,Hanna Moussa
HM1B_04_15r,HM,Hanna Moussa
HM1B_10_02v,HM,Hanna Moussa
HM1B_10_03r,HM,Hanna Moussa
HM1B_10_03v,HM,Hanna Moussa
HM1B_10_04r,HM,Hanna Moussa
HM1B_10_04v,HM,Hanna Moussa
HM1B_10_05r,HM,Hanna Moussa
HM1B_10_05v,HM,Hanna Moussa
HM1B_10_06r,HM,Hanna Moussa
HM1B_10_06v,HM,Hanna Moussa
HM1B_10_07r,HM,Hanna Moussa
HM1B_10_07v,HM,Hanna Moussa
HM1B_10_19v,HM,Hanna Moussa
HM1B_10_20r,HM,Hanna Moussa
HM1B_10_20v,HM,Hanna Moussa
HM1B_10_22r,HM,Hanna Moussa
HM1B_10_23r,HM,Hanna Moussa
HM1B_10_23v,HM,Hanna Moussa
HM1B_10_24v,HM,Hanna Moussa
HM1B_10_25r,HM,Hanna Moussa
HM1B_10_26r,HM,Hanna Moussa
HM1B_10_29v,HM,Hanna Moussa
JEH2A1_01r,JEH,Zaghloul ad-Damour
JEH2A2_17,JEH,Habib Massoud
JEH2A2_18,JEH,Habib Massoud
JEH2A2_19,JEH,Habib Massoud
JEH2A2_20_01,JEH,Habib Massoud
JEH2A2_20_02,JEH,Habib Massoud
JEH2E1_19r,JEH,Zaghloul
JEH2E1_20_04r,JEH,Zaghloul
JEH2E1_21_01r,JEH,Zaghloul
JEH2E1_21_02r,JEH,Zaghloul
JEH2E1_22r,JEH,Zaghloul
JEH2E1_23r,JEH,Zaghloul
JEH2E1_24r,JEH,Zaghloul
JEH2E1_26r,JEH,Zaghloul
JEH2E1_27r,JEH,Zaghloul
JEH2E1_30_08r,JEH,Zaghloul
JEH2E1_30_10r,JEH,Zaghloul
JEH2E1_30_13r,JEH,Zaghloul
JEH2E1_30_15r,JEH,Zaghloul
JEH2E1_41_01r,JEH,Zaghloul
JEH2E1_59_06r,JEH,Zaghloul
JEH2E1_59_07r,JEH,Zaghloul
JEH2E1_59_28r,JEH,Zaghloul
JEH2E1_61_08r,JEH,Zaghloul
JEH2E1_90_03r,JEH,Zaghloul
JEH2F1_30_01r,JEH,Zaghloul
JEH2F1_30_01v,JEH,Zaghloul
JEH2F1_30_02r,JEH,Zaghloul
JEH2F1_30_02v,JEH,Zaghloul
JEH2F1_30_03r,JEH,Zaghloul
JEH2F1_30_03v,JEH,Zaghloul
JEH2F1_30_04r,JEH,Zaghloul
JEH2F1_30_04v,JEH,Zaghloul
JEH2F1_30_05,JEH,Zaghloul
JoM_Kobayat_0020,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0021,JoM,Father Youhanna Habib Baysari
JoM_Kobayat_0073,JoM,Mkhayel Daher
JoM_Kobayat_0074,JoM,Father Youssef Hanna
JoM_Kobayat_0075,JoM,Father Youssef Iskandar
JoM_Kobayat_0082,JoM,Adib Shiha
JoM_Kobayat_0084,JoM,Father Youssef Hanna & Father Botros Hasan
JoM_Kobayat_0085,JoM,Father Youssef Hanna & Father Botros Hasan
JoM_Kobayat_0086,JoM,Father Botros Hassan
JoM_Kobayat_0107,JoM,Youssef Ibrahim
JoM_Kobayat_0108,JoM,Youssef Ibrahim
JoM_Kobayat_0109,JoM,Father Youssef Hajj
JoM_Kobayat_0111,JoM,Father Botros Hasan
JoM_Kobayat_0117,JoM,Father Youssef Hanna
JoM_Kobayat_0121,JoM,Father Botros Hasan
JoM_Kobayat_0123,JoM,Abdallah Daher
JoM_Kobayat_0125,JoM,Father Botros Hasan
JoM_Kobayat_0127,JoM,Mkhayel & Ibrahim Daher
JoM_Kobayat_0128,JoM,Mkhayel & Ibrahim Daher
JoM_Kobayat_0131,JoM,Mkhayel Daher
JoM_Kobayat_0134,JoM,Tannous Semaan
JoM_Kobayat_0141,JoM,Father Youssef Hajj
JoM_Kobayat_0143,JoM,Father Youssef Hanna & Father Botros Hasan
JoM_Kobayat_0154,JoM,Father Botros Hasan
JoM_Kobayat_0325,JoM,Bishop Antoun Jbeir
JoM_Kobayat_0345,JoM,Father Youssef Hajj
JoM_Kobayat_0349,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0350,JoM,Father Mkhayel Zreiby
JoM_Kobayat_0351,JoM,Father Mkhayel Zreiby
JPK2B_40,JPK,Jean Philipp Kmeid
JPK2B_41,JPK,Jean Philipp Kmeid
JPK2B_42_03,JPK,Jean Philipp Kmeid
JPK2B_42_04,JPK,Jean Philipp Kmeid
ME_21_01,ME,Mansour Eid
ME_21_02,ME,Mansour Eid
ME_21_03,ME,Mansour Eid
ME_21_04,ME,Mansour Eid
ME_21_05,ME,Mansour Eid
ME_21_06,ME,Mansour Eid
ME_21_07,ME,Mansour Eid
ME_21_08,ME,Mansour Eid
ME_21_09,ME,Mansour Eid
ME_21_10,ME,Mansour Eid
ME_21_11,ME,Mansour Eid
ME_21_12,ME,Mansour Eid
MeM1C_04_01,MeM,Nassif Mansour
MeM1C_22_01,MeM,Youssef
MeM1D_01_06r,MeM,Mkhayel Meneem
MeM1D_02_003r,MeM,Mkhayel Meneem
MeM1D_02_004r,MeM,Mkhayel Meneem
MeM1D_02_004v,MeM,Mkhayel Meneem
MeM1D_02_005r,MeM,Mkhayel Meneem
MG1_045_01,MG,Constantine Elias
MG1_045_02r,MG,Constantine Elias
MG1_045_02v,MG,Constantine Elias
MUKF1B_01r,MUKF,Mayor of Kfarshima
MUKF1B_01v,MUKF,Mayor of Kfarshima
MUKF4A_01_002r,MUKF,Sohayl Tohmeh
MUKF4A_01_002v,MUKF,Sohayl Tohmeh
MUKF4A_01_016r,MUKF,Sohayl Tohmeh
MUKF4A_02_082r,MUKF,Sohayl Tohmeh
MUKF4A_02_082v,MUKF,Sohayl Tohmeh
MUKF4A_02_083r,MUKF,Sohayl Tohmeh
MUKF4A_02_083v,MUKF,Sohayl Tohmeh
MUKF4A_02_084r,MUKF,Sohayl Tohmeh
MUKF4A_02_084v,MUKF,Sohayl Tohmeh
MUKF4A_02_085r,MUKF,Sohayl Tohmeh
MUKF4A_02_085v,MUKF,Sohayl Tohmeh
MUKF4A_02_086v,MUKF,Sohayl Tohmeh
MUKF7I_01_019r,MUKF,Mayor of Kfarshima
MUKF7I_01_021r,MUKF,Mayor of Kfarshima
MUKF7I_01_021v,MUKF,Mayor of Kfarshima
MUKF7I_01_022r,MUKF,Mayor of Kfarshima
MUKF7I_01_022v,MUKF,Mayor of Kfarshima
MUKF7I_01_023r,MUKF,Mayor of Kfarshima
MUKF7I_01_023v,MUKF,Mayor of Kfarshima
MUKF7I_01_024r,MUKF,Mayor of Kfarshima
MUKF7I_01_024v,MUKF,Mayor of Kfarshima
MUKF7I_01_025r,MUKF,Shukri Kanaan
MUKF7I_01_025v,MUKF,Shukri Kanaan
MUKF7I_01_026r,MUKF,Shukri Kanaan
MUKF7I_01_026v,MUKF,Shukri Kanaan
MUKF7I_01_027r,MUKF,Mayor of Kfarshima
MUKF7I_01_027v,MUKF,Mayor of Kfarshima
QBat19D_086r,QBat,Toubia Hanna Rizk and Touma Chidiac
QBat19D_094r,QBat,Hanna Younes Abboud
QBat1L_053r,QBat,Youssef Bey Al-Helou
QBat5H_0533_01r,QBat,Estephan Adib Salloum
QBat5H_0534_01r,QBat,Estephan Adib Salloum
SB_06,SB,Father Boulos El-Mender
SB_07,SB,Father Boulos El-Mender
SB_12,SB,Father Boulos El-Mender
SB1A_01r,SB,Father Boulos El-Mender
SB1A_02r,SB,Father Boulos El-Mender
SB1A_04r,SB,Father Boulos El-Mender
SB1A_05r,SB,Father Boulos El-Mender
SB1A_05v,SB,Father Boulos El-Mender
SB1A_06r,SB,Father Boulos El-Mender
SB1A_09r,SB,Father Boulos El-Mender
SB2A_01r,SB,Joseph
SB2A_01v,SB,Joseph
TB1A_16_01,TB,Toufic El Bacha
TB1A_16_02,TB,Toufic El Bacha
TB1A_17,TB,Toufic El Bacha
TB1A_18,TB,Toufic El Bacha
TB1A_19,TB,Toufic El Bacha
TB1A_25_01,TB,Toufic El Bacha
YFS1A_07,YFS,Youssef Fadlallah Salameh
YFS1A_10,YFS,Youssef Fadlallah Salameh
YFS1A_14,YFS,Youssef Fadlallah Salameh
YFS2A_01r,YFS,Youssef Fadlallah Salameh
YFS2A_01v,YFS,Youssef Fadlallah Salameh
YFS2A_02_01_1,YFS,Youssef Fadlallah Salameh
YFS2A_02_02_2,YFS,Youssef Fadlallah Salameh
YFS2A_04,YFS,Youssef Fadlallah Salameh
YFS5A_09r,YFS,Nehad
YFS5A_09v,YFS,Nehad
YS_1D_070c,YS,Abdo Fares
YS_1D_070e,YS,Jamil Youssef Noah
YS_1D_070f,YS,Elias Karbaj
YS_1D_070h,YS,Elias Karbaj
YS_1D_073,YS,Jarhas Hanna Al-Shabtini
YS_2F_022a,YS,Youssef El Sawda
YS_2F_022b,YS,Youssef El Sawda
YS_2F_022c,YS,Youssef El Sawda
YS_2F_022d,YS,Youssef El Sawda
YS_2F_022e,YS,Youssef El Sawda
YS_2F_022f,YS,Youssef El Sawda
YS_4A_002,YS,Sally Aad
YS_4A_004,YS,Daud Barkaat
YS_4C_038,YS,Youssef Darian
YS_4C_066,YS,Youssef Darian
YS_4C_067,YS,Youssef Darian
YS_4C_068,YS,Youssef Darian
YS_4C_069,YS,Youssef Darian
YS_4D_047,YS,Youssef Darian
YS_4D_050,YS,Talaat
YS_4D_050b,YS,Talaat
YS_4D_060,YS,Youssef Darian
YS_4D_095,YS,Youssef Darian
